output_prefix	name	motif_id	cluster	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue	K4me1_K4me2_highlighted
Arnt_MA0004.1	Arnt	MA0004.1	C_Mlxip	78	1.09807	4	0.80291	1	-0.58074	1.36511E-65	True
PAX6_MA0069.1	PAX6	MA0069.1	C_PAX6	151	2.10272	13	0.2708	1	0.2118	1.23850E-44	False
RORA_MA0071.1	RORA	MA0071.1	C_RORA	156	1.88549	11	0.31554	3	0.1569	6.14588E-33	False
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	96	2.49463	11	0.16381	1	0.42682	4.23017E-58	True
REL_MA0101.1	REL	MA0101.1	C_REL	100	1.57999	6	0.41435	0	-0.12396	3.95946E-17	False
RELA_MA0107.1	RELA	MA0107.1	C_REL	106	1.46067	5	0.49232	1	-0.20345	1.55604E-32	False
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	166	1.97557	12	0.32652	4	0.19188	1.32089E-37	False
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	84	1.64195	8	0.28271	1	0.1527	3.81585E-22	False
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIC::TLX1	119	1.76811	7	0.45106	2	-0.00347	6.37396E-02	False
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	356	1.7864	19	0.22645	2	0.18702	9.16334E-53	False
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_POU2F1::SOX2	878	2.15366	84	0.12848	2	0.41317	1.31348E-102	True
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	401	1.67578	30	0.24118	5	0.16864	6.71862E-57	False
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	485	1.6128	24	0.22775	6	0.16724	3.01044E-57	False
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	275	2.11372	21	0.2846	3	0.18992	7.62368E-47	False
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	191	2.01489	16	0.29817	2	0.14627	2.07402E-33	False
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	344	2.37018	46	0.26422	1	0.28431	3.18007E-71	False
Tfcp2l1_MA0145.2	Tfcp2l1	MA0145.2	C_Tfcp2l1	136	1.73191	12	0.22579	0	0.11744	1.13199E-19	False
DUX4_MA0468.1	DUX4	MA0468.1	C_DUX4	171	1.91608	13	0.18614	2	0.32781	2.54145E-60	False
Sox6_MA0515.1	Sox6	MA0515.1	C_Sox6	701	2.16353	72	0.13828	5	0.40713	3.01698E-98	True
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	178	2.18455	19	0.25227	3	0.27191	1.43304E-55	False
SREBF1_MA0595.1	SREBF1	MA0595.1	C_SREBF1	210	2.06877	20	0.34735	4	0.14742	1.93239E-38	False
SREBF2_MA0596.1	SREBF2	MA0596.1	C_SREBF1	214	1.88637	14	0.27391	2	0.13777	4.52965E-31	False
KLF5_MA0599.1	KLF5	MA0599.1	C_KLF5	616	2.06365	51	0.43106	14	0.06538	7.77164E-26	False
