MA1929.2 CTCF	Cluster_1
MA0145.2 Tfcp2l1	Cluster_10
MA0634.2 ALX3	Cluster_100
MA0875.2 BARX1	Cluster_100
MA0876.2 BSX	Cluster_100
MA0879.3 DLX1	Cluster_100
MA0882.2 DLX6	Cluster_100
MA1481.2 DRGX	Cluster_100
MA1495.2 HOXA1	Cluster_100
MA0612.3 EMX1	Cluster_100
MA0886.2 EMX2	Cluster_100
MA0027.3 EN1	Cluster_100
MA0900.3 HOXA2	Cluster_100
MA0887.2 EVX1	Cluster_100
MA0888.2 EVX2	Cluster_100
MA0890.2 GBX2	Cluster_100
MA0892.2 GSX1	Cluster_100
MA0894.2 HESX1	Cluster_100
MA1498.3 HOXA7	Cluster_100
MA0902.3 HOXB2	Cluster_100
MA0903.2 HOXB3	Cluster_100
MA1499.2 HOXB4	Cluster_100
MA0904.3 HOXB5	Cluster_100
MA1504.2 HOXC4	Cluster_100
MA1505.2 HOXC8	Cluster_100
MA1507.2 HOXD4	Cluster_100
MA0654.2 ISX	Cluster_100
MA0699.2 LBX2	Cluster_100
MA0700.3 LHX2	Cluster_100
MA0662.2 MIXL1	Cluster_100
MA0707.3 MNX1	Cluster_100
MA0666.3 MSX1	Cluster_100
MA0708.3 MSX2	Cluster_100
MA0675.2 NKX6-2	Cluster_100
MA0132.3 PDX1	Cluster_100
MA0628.2 POU6F1	Cluster_100
MA0716.2 PRRX1	Cluster_100
MA0718.2 RAX	Cluster_100
MA0717.2 RAX2	Cluster_100
MA0630.2 SHOX	Cluster_100
MA1577.2 TLX2	Cluster_100
MA0721.2 UNCX	Cluster_100
MA0723.3 VAX2	Cluster_100
MA0880.2 Dlx3	Cluster_100
MA0881.2 Dlx4	Cluster_100
MA0704.2 Lhx4	Cluster_100
MA0705.2 Lhx8	Cluster_100
MA0709.2 Msx3	Cluster_100
MA0125.2 Nobox	Cluster_100
MA0720.2 Shox2	Cluster_100
MA0158.2 HOXA5	Cluster_101
MA0912.2 HOXD3	Cluster_101
MA2093.1 HOXB1	Cluster_101
MA2119.1 HOXA3	Cluster_101
MA0893.3 GSX2	Cluster_101
MA1496.2 HOXA4	Cluster_101
MA1497.2 HOXA6	Cluster_101
MA1500.2 HOXB6	Cluster_101
MA1501.2 HOXB7	Cluster_101
MA1502.2 HOXB8	Cluster_101
MA0910.3 HOXD8	Cluster_101
MA1519.2 LHX5	Cluster_101
MA0661.2 MEOX1	Cluster_101
MA0706.2 MEOX2	Cluster_101
MA0885.3 Dlx2	Cluster_102
MA1476.3 Dlx5	Cluster_102
MA0896.2 Hmx1	Cluster_103
MA0898.2 Hmx3	Cluster_103
MA1963.2 SATB1	Cluster_104
MA0895.2 HMBOX1	Cluster_105
MA0878.3 CDX1	Cluster_106
MA1473.2 CDX4	Cluster_106
MA0899.2 HOXA10	Cluster_106
MA0913.3 HOXD9	Cluster_106
MA0465.3 CDX2	Cluster_107
MA0901.3 HOXB13	Cluster_107
MA0650.4 Hoxa13	Cluster_107
MA0909.4 Hoxd13	Cluster_107
MA1503.2 HOXB9	Cluster_108
MA0905.2 HOXC10	Cluster_108
MA0651.3 HOXC11	Cluster_108
MA0906.2 HOXC12	Cluster_108
MA0907.2 HOXC13	Cluster_108
MA0485.3 HOXC9	Cluster_108
MA1506.2 HOXD10	Cluster_108
MA0908.2 HOXD11	Cluster_108
MA0873.2 HOXD12	Cluster_108
MA0911.2 Hoxa11	Cluster_108
MA0594.3 HOXA9	Cluster_109
MA2335.1 ZNF558	Cluster_11
MA0847.4 FOXD2	Cluster_110
MA1487.3 FOXE1	Cluster_110
MA0845.1 FOXB1	Cluster_111
MA0032.2 FOXC1	Cluster_111
MA0846.2 FOXC2	Cluster_111
MA1607.2 Foxl2	Cluster_111
MA0041.3 FOXD3	Cluster_112
MA0877.4 BARHL1	Cluster_113
MA0635.2 BARHL2	Cluster_113
MA0613.1 FOXG1	Cluster_114
MA0614.1 Foxj2	Cluster_114
MA0042.2 FOXI1	Cluster_114
MA0033.2 FOXL1	Cluster_114
MA0848.1 FOXO4	Cluster_114
MA0849.1 FOXO6	Cluster_114
MA0850.1 FOXP3	Cluster_114
MA1489.1 FOXN3	Cluster_114
MA2117.1 FOXP4	Cluster_114
MA2118.1 FOXS1	Cluster_114
MA0148.5 FOXA1	Cluster_114
MA0047.4 FOXA2	Cluster_114
MA1683.2 FOXA3	Cluster_114
MA0031.2 FOXD1	Cluster_114
MA0030.2 FOXF2	Cluster_114
MA0852.3 FOXK1	Cluster_114
MA1103.3 FOXK2	Cluster_114
MA0481.4 FOXP1	Cluster_114
MA0480.3 Foxo1	Cluster_114
