name	DNAme_group	lg_k4me2_enrich	lg_mznps_atac	lg_mznps_k27ac	lg_h2az	sphere_DNAme_prop
atac_L00083	LOW	0.684	0.038	0.838	-1.691	0
atac_L00084	LOW	0.821	-0.253	1.449	-1.712	0
atac_L00093	LOW	1.468	-0.05	-0.537	-1.995	0.183
atac_L00269	LOW	1.453	0.216	0.683	-2.118	0
atac_L00298	LOW	1.111	-2.409	-0.045	-1.876	0
atac_L00336	LOW	1.969	-0.207	2.662	-1.732	0.15
atac_L00342	LOW	0.692	-0.437	-0.189	-1.546	0.056
atac_L00357	LOW	0.297	-2.426	-0.448	-2.025	0.083
atac_L00675	LOW	-0.501	0.028	-0.175	-2.217	0
atac_L00702	LOW	1.169	-0.93	0.084	-1.453	1.833
atac_L00719	LOW	-0.922	-3.475	-2.685	-2.231	0
atac_L00747	LOW	3.462	-3.301	-2.228	-1.934	0
atac_L00817	LOW	1.752	-2.351	0.463	-1.711	0
atac_L00962	LOW	-0.986	0.586	0.307	-1.562	0
atac_L01074	LOW	2.19	0.516	0.922	-1.625	18
atac_L01092	LOW	1.355	-0.27	0.277	-1.094	0.214
atac_L01126	LOW	1.672	-1.191	0.981	-1.792	0
atac_L01158	LOW	1.406	0.864	1.916	-1.877	1.071
atac_L01179	LOW	0.512	-3.242	-2.435	-2.533	0
atac_L01284	LOW	0.671	0.601	0.674	-1.397	0
atac_L01335	LOW	2.088	0.314	-0.34	-2.022	7.75
atac_L01446	LOW	0	0.23	2.124	-2.194	0
atac_L01482	LOW	1.435	-2.013	-0.63	-2.653	0.5
atac_L01780	LOW	2.481	-2.067	-0.708	-1.666	0
atac_L01781	LOW	1.41	-5.072	-1.788	-1.753	0
atac_L02018	LOW	2.483	-0.012	0.011	-1.861	8
atac_L02038	LOW	2.342	-0.603	-0.373	-1.18	0
atac_L02049	LOW	-0.362	-0.967	-0.772	-2.436	4
atac_L02050	LOW	-0.353	-2.521	-0.538	-2.091	18.167
atac_L02060	LOW	2.46	0.814	0.096	-2.534	0
atac_L02111	LOW	2.82	-0.031	0.373	-1.658	0
atac_L02119	LOW	0.508	0.613	0.657	-1.491	2.125
atac_L02222	LOW	2.339	-0.685	0.155	-1.496	0
atac_L02226	LOW	1.155	-0.24	-0.295	-1.329	0
atac_L02293	LOW	0.406	-1.154	-3.235	-1.539	0.417
atac_L02294	LOW	1.459	-0.7	-1.729	-1.649	0
atac_L02295	LOW	2.113	-0.439	-1.778	-1.623	0
atac_L02314	LOW	0	4.2	3.06	-2.887	0.417
atac_L02326	LOW	1.8	-0.326	-0.009	-1.804	0
atac_L02343	LOW	-0.097	-2.652	-0.72	-1.747	0
atac_L02441	LOW	-0.884	0.182	0.883	-2.262	0
atac_L02565	LOW	1.155	-0.021	0.25	-2.035	0
atac_L02566	LOW	1.26	-0.18	0.13	-1.896	0
atac_L02599	LOW	0.286	0.486	0.178	-1.545	0
atac_L02786	LOW	1.495	-0.348	0.632	-1.7	0
