name	group	position	dist_nearest_nps_down_gene	dist_nearest_unaff_gene
atac_P00006	k4me1_enh	distal	120070	19777
atac_L00067	k4me1_enh	distal	619444	544355
atac_L00097	k4me1_enh	distal	1348885	1273796
atac_L00150	k4me1_enh	distal	1744024	2859665
atac_L00161	k4me1_enh	distal	995451	3395222
atac_L00181	k4me1_enh	distal	28851	2428622
atac_L00182	k4me1_enh	distal	4727	2404498
atac_P00028	k4me1_enh	distal	23301	2376171
atac_P00035	k4me1_enh	distal	255754	2143730
atac_L00203	k4me1_enh	distal	492525	1907081
atac_L00210	k4me1_enh	distal	692443	1707139
atac_L00211	k4me1_enh	distal	692808	1706831
atac_L00217	k4me1_enh	distal	851167	1548496
atac_L00221	k4me1_enh	distal	869552	1530006
atac_L00230	k4me1_enh	distal	1097489	1302204
atac_P00046	k4me1_enh	distal	1187173	1212359
atac_L00247	k4me1_enh	distal	669427	425719
atac_P00051	k4me1_enh	distal	310859	67151
atac_L00291	k4me1_enh	distal	5843	130924
atac_L00296	k4me1_enh	distal	89144	226101
atac_L00297	k4me1_enh	distal	95305	232262
atac_P00072	k4me1_enh	distal	11741	212889
atac_L00307	k4me1_enh	distal	2453	222146
atac_L00316	k4me1_enh	distal	219419	452533
atac_L00323	k4me1_enh	distal	856784	129420
atac_L00352	k4me1_enh	distal	771002	1568579
atac_L00355	k4me1_enh	distal	1098622	1240850
atac_L00357	k4me1_enh	distal	1147683	1191785
atac_L00361	k4me1_enh	distal	1179555	1160004
atac_L00366	k4me1_enh	distal	811541	770463
atac_L00367	k4me1_enh	distal	810703	769625
atac_P00105	k4me1_enh	distal	8897	661326
atac_L00405	k4me1_enh	distal	236507	906954
atac_L00408	k4me1_enh	distal	597147	581326
atac_L00423	k4me1_enh	distal	1234511	55947
atac_P00119	k4me1_enh	distal	1987560	808996
atac_L00453	k4me1_enh	distal	1612724	801888
atac_P00129	k4me1_enh	distal	837572	26736
atac_L00485	k4me1_enh	distal	263631	128021
atac_L00486	k4me1_enh	distal	258404	122794
atac_P00131	k4me1_enh	distal	16294	118950
atac_P00132	k4me1_enh	distal	10627	124709
atac_P00133	k4me1_enh	distal	7364	142974
atac_L00511	k4me1_enh	distal	5703	750281
atac_L00523	k4me1_enh	distal	467408	1223674
atac_P00135	k4me1_enh	distal	826887	1583153
atac_L00534	k4me1_enh	distal	917615	1532288
atac_L00546	k4me1_enh	distal	1843722	606201
atac_L00554	k4me1_enh	distal	2066071	383901
atac_L00563	k4me1_enh	distal	2627935	107032
atac_L00571	k4me1_enh	distal	2966310	231229
atac_L00575	k4me1_enh	distal	3085642	350561
atac_L00584	k4me1_enh	distal	3410033	674952
atac_L00592	k4me1_enh	distal	4028644	291233
atac_L00593	k4me1_enh	distal	4035020	284859
atac_L00599	k4me1_enh	distal	4114484	205338
atac_P00157	k4me1_enh	distal	4288596	31166
atac_L00600	k4me1_enh	distal	4300649	19128
atac_L00637	k4me1_enh	distal	3184558	8490
atac_L00638	k4me1_enh	distal	3184224	8758
atac_L00644	k4me1_enh	distal	2975951	217028
atac_L00645	k4me1_enh	distal	2945063	248008
atac_L00655	k4me1_enh	distal	2296621	896491
atac_L00668	k4me1_enh	distal	1798790	1394283
atac_L00672	k4me1_enh	distal	1609195	1583899
atac_L00675	k4me1_enh	distal	1469338	1723577
atac_L00677	k4me1_enh	distal	1467063	1726000
atac_L00680	k4me1_enh	distal	1450719	1742362
atac_L00681	k4me1_enh	distal	1446897	1745943
atac_L00708	k4me1_enh	distal	358195	2016256
atac_L00719	k4me1_enh	distal	2621	1660682
atac_L00728	k4me1_enh	distal	19843	1638082
atac_L00729	k4me1_enh	distal	22522	1635184
atac_L00731	k4me1_enh	distal	53512	1604358
atac_L00734	k4me1_enh	distal	195316	1462639
atac_L00740	k4me1_enh	distal	635160	1022811
atac_L00753	k4me1_enh	distal	1221699	436191
atac_L00756	k4me1_enh	distal	1370301	94472
atac_L00786	k4me1_enh	distal	617935	237665
atac_L00793	k4me1_enh	distal	653382	395224
atac_L00795	k4me1_enh	distal	340354	339227
atac_L00809	k4me1_enh	distal	224839	1002848
atac_L00838	k4me1_enh	distal	1330967	1367205
atac_L00851	k4me1_enh	distal	2395157	302968
