Name	Enh_type	Nanog_motif	Pou5f3_motif	Sox19b_motif	Any_NPS_motif
atac_L21830	k4me1_enh	FALSE	TRUE	TRUE	TRUE
atac_L21829	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_L15450	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_L07957	k4me1_enh	FALSE	FALSE	TRUE	TRUE
atac_L21828	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L16971	k4me1_enh	TRUE	TRUE	FALSE	TRUE
atac_P03282	k4me1_enh	FALSE	FALSE	FALSE	FALSE
atac_L31586	k4me1_enh	TRUE	TRUE	FALSE	TRUE
atac_L28985	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L27431	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L16567	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L27430	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L31588	k4me1_enh	FALSE	FALSE	TRUE	TRUE
atac_L08866	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_P00131	k4me1_enh	FALSE	FALSE	TRUE	TRUE
atac_L33213	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_L15311	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L28984	k4me1_enh	TRUE	TRUE	FALSE	TRUE
atac_L08754	k4me1_enh	FALSE	FALSE	FALSE	FALSE
atac_L35364	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L32301	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L38188	k4me1_enh	FALSE	FALSE	TRUE	TRUE
atac_L31585	k4me1_enh	FALSE	FALSE	FALSE	FALSE
atac_L35365	k4me1_enh	TRUE	FALSE	TRUE	TRUE
atac_L39410	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L36632	k4me1_enh	FALSE	FALSE	TRUE	TRUE
atac_P00526	k4me1_enh	FALSE	TRUE	TRUE	TRUE
atac_L16563	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_P03281	k4me1_enh	FALSE	FALSE	FALSE	FALSE
atac_L25756	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L02322	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L12033	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_L23436	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L15308	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L07815	k4me1_enh	FALSE	TRUE	FALSE	TRUE
atac_L33621	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_L18327	k4me1_enh	TRUE	FALSE	TRUE	TRUE
atac_L33452	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L34174	k4me1_enh	FALSE	FALSE	FALSE	FALSE
atac_L16564	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L10460	k4me1_enh	FALSE	FALSE	FALSE	FALSE
atac_L12546	k4me1_enh	TRUE	TRUE	TRUE	TRUE
atac_L17029	k4me1_enh	TRUE	TRUE	FALSE	TRUE
atac_L36305	k4me1_enh	TRUE	FALSE	FALSE	TRUE
atac_L08867	k4me1_enh	TRUE	TRUE	FALSE	TRUE
atac_L04798	k4me1_enh	TRUE	TRUE	FALSE	TRUE
atac_L16565	k4me1_enh	FALSE	TRUE	FALSE	TRUE
