name	group	foxh1	eomesa	nfya	smad2	pbx4	prep1
atac_L27603	k4me1_enh	-2.562	0.631	4.085	-2.843	-0.766	-2.414
atac_L39546	k4me1_enh	-2.355	1.066	-1.646	-3.225	2.923	3.442
atac_L23265	k4me1_enh	2.85	2.739	-0.149	-0.492	-1.842	-1.916
atac_L07266	k4me1_enh	2.663	2.63	0.818	0.087	-2.038	-1.835
atac_L06553	k4me1_enh	0.793	3.59	-0.22	-3.008	-1.685	-2.347
atac_L17015	k4me1_enh	-1.415	3.684	0.158	-2.446	-1.834	-2.631
atac_L37469	k4me1_enh	1.232	3.309	0.461	-1.034	-2.331	-1.745
atac_L38690	k4me1_enh	1.987	2.853	0.824	-1.104	-0.142	-3.322
atac_L32454	k4me1_enh	1.896	3.205	-0.124	-1.205	-1.856	-3.322
atac_L06131	k4me1_enh	3.177	1.774	-0.573	-0.71	-2.032	-2.139
atac_L34934	k4me1_enh	0.086	2.148	-1.05	-2.727	1.255	1.99
atac_L02841	k4me1_enh	0.979	3.012	-0.043	-1.983	-2.118	-3.322
atac_L04926	k4me1_enh	-2.524	-1.939	2.822	-2.673	-1.666	-0.827
atac_L24649	k4me1_enh	-2.433	3.344	-0.109	-3.322	-2.338	-3.322
atac_L04331	k4me1_enh	-0.839	1.587	1.875	-1.037	-0.336	0.538
atac_L36985	k4me1_enh	-0.877	-1.144	2.181	-1.133	-1.593	-3.322
atac_L38665	k4me1_enh	-0.365	2.89	0.934	-1.856	-2.417	-3.322
atac_L36305	k4me1_enh	1.436	2.538	-0.195	-0.954	-1.662	-1.716
atac_L31125	k4me1_enh	-2.242	-0.965	0.089	-2.009	-2.766	-2.373
atac_L09520	k4me1_enh	-1.637	3.091	-0.822	-2.512	-0.85	-3.322
atac_L23170	k4me1_enh	1.684	2.567	-1.348	-1.398	-2.101	-3.034
atac_L35118	k4me1_enh	-0.05	2.929	-1.093	-2.465	-0.748	-1.851
atac_L24077	k4me1_enh	-0.461	1.377	-0.414	-1.612	2.102	0.243
atac_L04365	k4me1_enh	-2.433	-1.489	-1.22	-1.439	-3.009	-3.113
atac_L03363	k4me1_enh	-0.143	2.891	-0.896	-2.916	-2.31	-3.15
atac_L30790	k4me1_enh	-1.524	-1.506	-1.086	-2.819	2.258	1.638
atac_L04625	k4me1_enh	-0.795	2.985	-1.632	-2.465	-2.555	-3.322
atac_L36320	k4me1_enh	-0.842	1.811	1.684	-1.329	-1.653	-3.154
atac_L23157	k4me1_enh	2.086	1.83	-0.719	-2.181	-2.702	-2.209
atac_L00307	k4me1_enh	-0.295	2.357	-0.467	-2.384	-0.191	-0.314
atac_L21648	k4me1_enh	-2.936	2.817	0.01	-3.322	-2.341	-2.787
atac_L32405	k4me1_enh	-2.145	2.912	-1.181	-2.772	-2.838	-2.93
atac_L16601	k4me1_enh	-0.258	0.316	0.514	-1.723	-0.276	-3.322
atac_L38295	k4me1_enh	-2.642	1.776	1.215	-1.862	-0.828	-0.165
atac_L14378	k4me1_enh	-0.126	2.484	-0.184	-2.981	-1.524	-3.253
atac_L39904	k4me1_enh	-1.262	2.598	-1.65	-3.257	-0.541	-0.696
atac_L14972	k4me1_enh	-1.606	2.747	-0.372	-2.446	-2.743	-3.269
atac_L29376	k4me1_enh	0.685	2.1	0.66	-2.819	-1.929	-1.375
atac_L39951	k4me1_enh	0.169	2.433	-0.698	-1.669	-1.366	-1.893
atac_L03479	k4me1_enh	2.051	1.487	-0.564	-1.976	-2.297	-3.322
atac_L04406	k4me1_enh	1.054	2.222	-0.497	-2.784	-2.177	-3.175
atac_L27760	k4me1_enh	2.195	0.754	0.098	-2.307	-2.402	-3.322
atac_L02840	k4me1_enh	0.219	2.161	0.268	-1.058	-1.459	-3.322
atac_L39935	k4me1_enh	-2.338	2.665	-1.135	-2.227	-2.507	-1.377
atac_L39410	k4me1_enh	-0.41	1.186	-0.124	-1.905	0.611	-0.825
atac_L32903	k4me1_enh	-1.234	2.541	-0.844	-3.322	-1.892	-1.257
atac_L02678	k4me1_enh	1.803	1.409	-0.586	-1.513	-1.663	-2.618
atac_L01976	k4me1_enh	1.219	2.019	-2.42	-0.812	-2.328	-3.322
atac_L38294	k4me1_enh	-3.322	1.773	0.813	-3.322	-0.943	-0.115
atac_L04901	k4me1_enh	0.282	2.459	-1.184	-2.531	-3.179	-1.984
atac_L05775	k4me1_enh	-0.24	2.115	0.181	-1.355	-1.378	-3.322
atac_L01053	k4me1_enh	1.208	1.707	0.018	-1.82	-2.674	-3.166
atac_L27818	k4me1_enh	0.886	2.137	-0.753	-2.6	-2.362	-3.322
atac_L25526	k4me1_enh	1.802	0.615	-0.023	-1.368	-1.244	-1.799
atac_L12535	k4me1_enh	1.548	1.2	-0.715	-1.457	-2.142	-0.725
atac_L16226	k4me1_enh	-1.372	-1.761	-0.685	-1.944	2.111	0.219
atac_L06556	k4me1_enh	-2.159	2.638	-3.015	-3.062	-2.485	-2.33
atac_L38670	k4me1_enh	-0.368	2.071	-0.5	-1.027	-1.082	-2.363
atac_L16497	k4me1_enh	-0.987	2.206	-0.055	-1.68	-2.648	-2.941
atac_L27460	k4me1_enh	-0.297	1.652	0.123	-1.707	-0.243	-1.168
atac_L16766	k4me1_enh	1.675	0.862	-0.145	-0.836	-1.255	-3.322
atac_L14667	k4me1_enh	1.245	1.571	-0.205	-2.784	-2.009	-3.322
atac_L33486	k4me1_enh	0.129	2.042	0.036	-1.596	-2.523	-3.322
atac_L12693	k4me1_enh	-2.095	-0.774	-0.772	-3.322	1.412	1.497
atac_L36287	k4me1_enh	-1.657	1.037	0.93	-1.111	-0.939	-0.461
atac_L18291	k4me1_enh	-0.361	-1.089	0.617	-2.831	-1.986	-3.287
atac_L29876	k4me1_enh	-1.006	0.065	1.588	-2.151	-1.447	-1.491
atac_L01607	k4me1_enh	0.468	1.983	-0.324	-2.474	-2.336	-2.463
atac_L08017	k4me1_enh	0.256	1.251	0.873	-3.322	-2.182	-2.18
atac_L22295	k4me1_enh	1.15	1.514	-0.017	-2.243	-2.169	-3.322
atac_L21074	k4me1_enh	1.455	1.276	-0.518	-0.83	-2.424	-3.322
atac_L32212	k4me1_enh	-1.033	-1.433	1.726	-2.727	-1.794	-1.848
atac_L08755	k4me1_enh	-0.704	2.101	-0.381	-3.322	-0.644	-2.596
atac_L02322	k4me1_enh	2.128	0.328	-1.291	-2.446	-1.526	-3.322
atac_L36292	k4me1_enh	0.725	1.694	-0.46	-1.359	-2.523	-1.569
atac_L33582	k4me1_enh	0.25	1.941	-0.103	-2.879	-1.888	-2.567
atac_L01815	k4me1_enh	-1.88	2.347	-0.719	-1.734	-2.273	-3.322
atac_L27117	k4me1_enh	-1.631	2.258	-1.587	-1.696	-2.387	-1.087
atac_L26438	k4me1_enh	0.177	1.913	-0.309	-1.264	-2.491	-2.405
