name	motif_id	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue
TBX3	MA1566.3	654	2.6446	90	0.11699	2	0.53116	6.54201e-118
TBX20	MA0689.1	547	2.46575	70	0.16069	5	0.4573	1.81419e-107
HOXB4	MA1499.2	769	2.19848	66	0.11914	2	0.41611	5.55907e-106
Pou5f1::Sox2	MA0142.1	878	2.15366	84	0.12848	2	0.41317	1.31348e-102
MGA::EVX1	MA1960.2	501	2.50629	51	0.1393	3	0.44993	2.23772e-101
SOX10	MA0442.3	993	1.95777	74	0.16064	6	0.35259	1.46052e-100
Sox6	MA0515.1	701	2.16353	72	0.13828	5	0.40713	3.01698e-98
POU6F1	MA1549.2	312	2.4993	29	0.06357	0	0.56406	3.84214e-98
ZNF281	MA1630.3	1038	2.35875	113	0.28262	13	0.28309	5.13199e-98
POU6F2	MA0793.2	336	2.56506	33	0.1049	0	0.49927	3.13292e-95
RREB1	MA0073.2	959	2.05229	88	0.18864	5	0.30091	1.52984e-94
NKX6-3	MA1530.2	377	2.47078	37	0.13355	1	0.44991	1.90493e-94
TCFL5	MA0632.3	107	1.06396	5	1.28306	5	-0.84697	4.44315e-94
Sox3	MA0514.3	512	2.27217	62	0.14387	4	0.43592	9.68267e-94
POU1F1	MA0784.3	623	2.25131	56	0.18019	1	0.32842	4.75691e-92
Isl1	MA1608.2	428	2.3305	43	0.13744	3	0.41246	2.49623e-90
VEZF1	MA1578.2	541	2.11501	49	0.17759	4	0.40545	2.60401e-88
POU5F1B	MA0792.1	809	2.15246	67	0.19592	3	0.28754	6.80385e-87
Sox5	MA0087.3	405	2.22761	43	0.17132	3	0.36022	4.12923e-85
PRDM9	MA1723.2	753	2.02367	68	0.25764	12	0.28678	2.29887e-83
CTCF	MA0139.2	429	1.23395	19	0.66706	10	-0.41768	2.33404e-83
ZNF740	MA0753.3	564	2.27854	60	0.21534	4	0.33589	1.71273e-82
Nrf1	MA0506.3	146	1.13949	7	1.03729	8	-0.61683	2.12839e-80
FOSL2	MA0478.2	224	2.45778	20	0.17163	0	0.40534	4.10837e-77
Atf1	MA0604.1	89	1.08206	5	1.19846	6	-0.68417	9.53967e-77
Sox11	MA0869.3	445	1.89968	37	0.16711	4	0.34499	2.60912e-76
ZNF418	MA1980.1	250	1.91179	20	0.09633	0	0.40051	1.19856e-75
ZNF558	MA2335.1	246	1.90515	21	0.11581	1	0.37914	1.61004e-75
HES1	MA1099.3	62	1.12418	4	1.13444	2	-0.71858	1.29936e-74
FOXH1	MA0479.2	247	1.93966	18	0.10661	1	0.42246	1.94842e-74
NR3C1	MA0113.4	61	2.16216	7	0	0	0.73753	1.97492e-74
HNF4A	MA1494.2	141	1.93021	7	0.07134	0	0.46111	5.75102e-74
ELK3	MA0759.3	46	1.35673	3	1.81782	5	-0.86931	5.72624e-73
ZNF417	MA1727.2	45	0.79339	1	1.31701	4	-1.00915	2.48778e-72
KLF4	MA0039.5	591	2.12914	55	0.25145	5	0.24185	9.64346e-72
MAFF	MA0495.4	254	1.92102	20	0.11708	0	0.37464	1.59548e-71
PLAG1	MA0163.1	344	2.37018	46	0.26422	1	0.28431	3.18007e-71
GLI3	MA1491.3	121	2.3978	14	0.15202	2	0.47519	1.17716e-70
ZNF610	MA1713.2	191	1.60727	19	0.96741	9	-0.38132	3.54068e-70
PPARG	MA0066.2	147	1.98188	9	0.09062	0	0.44701	3.76126e-70
Lhx1	MA1518.3	120	2.38613	13	0.11619	0	0.47193	5.52696e-70
FOS::JUN	MA1126.2	176	1.42238	9	0.85153	4	-0.39512	1.39932e-69
SP5	MA1965.2	860	2.15605	85	0.30423	9	0.2092	3.63286e-69
CREB3L4	MA1474.2	75	1.17875	6	1.0519	3	-0.62472	1.35485e-68
ZSCAN29	MA1602.2	65	1.94827	8	0.04216	0	0.67759	6.43809e-68
Hnf1A	MA1991.2	284	1.78649	21	0.11745	0	0.34099	7.0963e-68
ZNF530	MA1981.2	416	1.87413	31	0.18074	1	0.28279	7.4133e-68
POU5F1	MA1115.2	453	2.0288	36	0.20022	2	0.25988	1.38699e-67
ZBTB11	MA2329.1	151	1.5101	11	0.92513	7	-0.35917	1.92105e-67
ZNF214	MA1975.2	185	2.09994	16	0.16172	3	0.3397	2.13255e-67
E2F4	MA0470.3	58	0.85555	1	1.07152	4	-0.71551	4.78586e-67
ZSCAN4	MA1155.1	681	1.82457	51	0.25612	6	0.18155	1.20758e-66
KLF17	MA1514.2	433	2.14377	47	0.2868	6	0.22648	2.62135e-66
ZNF547	MA2334.1	316	2.06076	29	0.23357	1	0.24646	3.35885e-66
Gli1	MA1990.2	196	2.36393	21	0.17542	1	0.35102	3.72374e-66
FOS	MA1951.2	159	1.40813	9	0.80584	5	-0.38562	4.08969e-66
TFDP1	MA1122.2	94	1.49792	6	1.04212	4	-0.49888	4.53035e-66
XBP1	MA0844.2	107	1.50304	13	1.0671	5	-0.49092	5.47132e-66
ELF2	MA1483.3	89	1.43381	5	1.13736	5	-0.48534	6.77537e-66
Arnt	MA0004.1	78	1.09807	4	0.80291	1	-0.58074	1.36511e-65
YY2	MA0748.3	56	1.25711	3	1.0756	3	-0.61035	1.44071e-65
MEIS1	MA0498.3	2140	1.78469	140	0.28916	17	0.11904	2.23006e-65
HOXA4	MA1496.2	161	2.18631	15	0.16429	0	0.36253	2.60368e-65
Pparg::Rxra	MA0065.3	368	2.13465	43	0.24181	4	0.27612	2.82286e-65
MXI1	MA1108.3	591	1.94947	45	0.26199	8	0.19681	4.24439e-65
NR2F1	MA0017.3	221	2.18545	23	0.26241	4	0.29197	9.47693e-65
