name	egg_DNAme_prop	sperm_DNAme_prop	sphere_DNAme_prop
atac_L00039	100	97.75	100
atac_L00065	80	NA	NA
atac_L00067	NA	NA	NA
atac_L00077	NA	95.333	92
atac_L00083	18.2	0	0
atac_L00084	23.333	4.417	0
atac_L00087	NA	NA	NA
atac_L00093	NA	2.087	0.183
atac_L00097	NA	NA	NA
atac_L00099	NA	NA	NA
atac_L00111	4.917	NA	NA
atac_L00140	44.571	98	95
atac_L00150	90	96	81
atac_L00161	29.675	15	NA
atac_L00174	57.625	97	94.792
atac_L00181	41.75	100	100
atac_L00182	52.5	100	100
atac_L00186	NA	96.5	93
atac_L00187	4.65	89.7	87.3
atac_L00198	76	96.5	96.5
atac_L00200	76.667	97.25	96.125
atac_L00203	NA	93.5	91.25
atac_L00204	NA	NA	97.5
atac_L00206	NA	97	91.75
atac_L00210	96.5	96.833	98.333
atac_L00211	79.5	92.667	88.25
atac_L00212	NA	87.5	100
atac_L00217	14.571	NA	80
atac_L00221	NA	NA	NA
atac_L00223	NA	NA	NA
atac_L00230	0	0	NA
atac_L00247	79.75	97.083	94.875
atac_L00259	25	93.875	95.375
atac_L00269	0.778	0	0
atac_L00291	5.25	NA	NA
atac_L00295	1	0	NA
atac_L00296	NA	NA	NA
atac_L00297	0	NA	NA
atac_L00298	0	NA	0
atac_L00307	NA	96.333	89
atac_L00316	96.222	90.806	97.444
atac_L00322	NA	NA	NA
atac_L00323	95	NA	NA
atac_L00336	0	0.05	0.15
atac_L00342	20	3	0.056
atac_L00352	3.625	98.438	97.562
atac_L00354	7.5	96	95
atac_L00355	72.5	NA	NA
atac_L00357	0	1.75	0.083
atac_L00361	71.5	98.125	89.667
atac_L00366	95.562	96.562	97
atac_L00367	NA	90	96.5
atac_L00377	0.5	NA	NA
atac_L00387	NA	NA	NA
atac_L00399	5.267	NA	NA
atac_L00405	100	100	98.75
atac_L00408	NA	NA	NA
atac_L00411	100	NA	NA
atac_L00423	34.833	83.667	84.333
atac_L00429	73.125	96.833	97.5
atac_L00430	27	98	82.75
atac_L00431	18	98	92
atac_L00433	100	NA	NA
atac_L00439	NA	100	NA
atac_L00450	NA	NA	37.5
atac_L00453	100	91	86.667
atac_L00455	NA	86.5	89.5
atac_L00473	48.167	92.833	NA
atac_L00481	97.5	NA	NA
atac_L00485	0	97	71
atac_L00486	NA	NA	NA
atac_L00491	50	NA	NA
atac_L00496	27	NA	89.667
atac_L00497	NA	NA	NA
atac_L00502	0	NA	NA
atac_L00508	47.667	88	92
atac_L00511	NA	NA	NA
atac_L00512	80.933	98.214	96.75
atac_L00523	2	90.584	93.922
atac_L00534	NA	NA	NA
atac_L00540	74	100	83
atac_L00546	100	90	87
atac_L00554	NA	NA	NA
atac_L00563	99.5	98	100
atac_L00571	NA	95	85.5
atac_L00573	NA	NA	NA
atac_L00575	68.286	89.429	95.857
atac_L00583	75	NA	NA
atac_L00584	74	100	NA
atac_L00592	NA	98.5	94
atac_L00593	NA	NA	NA
atac_L00599	63.375	NA	NA
atac_L00600	39	NA	NA
atac_L00631	1	100	100
atac_L00637	NA	NA	NA
atac_L00638	NA	NA	NA
atac_L00641	NA	NA	NA
atac_L00644	100	97	93
atac_L00645	NA	90.5	100
atac_L00646	92.75	97.333	97.333
atac_L00655	100	NA	NA
