name	DNAme_group	lg_k4me2_enrich	lg_mznps_atac	lg_mznps_k27ac	lg_h2az	sphere_DNAme_prop
atac_L00114	LOW	1.894	-1.847	-2.008	-2.043	0
atac_L00226	LOW	3.618	0.479	-0.307	-1.563	0
atac_L00228	LOW	2.094	0.483	0.588	-1.172	0
atac_L00274	LOW	2.886	0.184	0.197	-1.42	0
atac_L00285	LOW	3.358	1.173	1.193	-1.315	0
atac_L00311	LOW	0.956	-0.246	-0.405	-2.016	0
atac_L00312	LOW	2.279	0.353	0.17	-1.839	4.857
atac_L00403	LOW	-0.009	-3.11	-0.469	-2.53	4.722
atac_L00438	LOW	2.123	-1.179	-0.616	-1.583	0.2
atac_L00524	LOW	0.435	-3.765	-1.323	-1.437	0
atac_L00545	LOW	2.788	-0.529	-0.239	-0.869	0.333
atac_L00547	LOW	2.314	0.164	-0.445	-1.487	0
atac_L00580	LOW	0.815	-0.065	0.978	-1.888	0
atac_L00623	LOW	1.278	0.038	-0.069	-1.682	0
atac_L00850	LOW	2.42	0.288	-0.851	-1.344	0.667
atac_L00905	LOW	1.11	0.616	0.681	-2.327	0
atac_L00913	LOW	1.896	0.876	0.759	-2.011	6
atac_L00942	LOW	0.532	-0.366	-0.367	-1.225	1.75
atac_L00970	LOW	1.781	0.192	0.7	-1.687	0
atac_L01081	LOW	3.063	0.616	-0.048	-0.862	0
atac_L01090	LOW	2.902	-1.88	0.086	-1.515	0
atac_L01152	LOW	3.76	-0.286	0.731	-2.083	0
atac_L01288	LOW	3.63	0.564	0.683	-1.93	0
atac_L01355	LOW	1.045	0.552	1.641	-1.345	0.67
atac_L01441	LOW	3.693	-0.346	1.332	-1.433	0
atac_L01461	LOW	2.043	0.711	0.58	-1.265	0
atac_L01526	LOW	2.792	-0.551	0.963	-1.709	7
atac_L01554	LOW	0.785	0.478	0.545	-2.112	0
atac_L01702	LOW	2.953	0.336	0.373	-1.244	0
atac_L01758	LOW	0.175	-2.911	-1.384	-1.817	0
atac_L01893	LOW	1.416	-1.073	-0.586	-1.559	0
atac_L01957	LOW	2.586	0.191	0.997	-1.41	0
atac_L02031	LOW	2.777	0.747	0.459	-1.706	0
atac_L02064	LOW	0.315	0.01	0.334	-2.385	2.2
atac_L02082	LOW	1.971	-0.363	0.068	-1.356	0
atac_L02114	LOW	2.673	0.52	0.26	-1.34	0
atac_L02237	LOW	1.692	0.634	0.02	-1.815	0.8
atac_L02333	LOW	2.996	0.296	-0.111	-1.667	0
atac_L02407	LOW	2.806	0.626	0.154	-1.305	0.875
atac_L02663	LOW	2.343	-0.657	0.478	-0.979	0
atac_L02765	LOW	1.02	0.304	0.669	-2.147	3.4
atac_L02785	LOW	0.175	-0.127	0.005	-1.957	0
atac_L02862	LOW	0.504	0.324	0.316	-1.525	0
atac_L02872	LOW	3.387	0.623	0.792	-1.226	0
atac_L02930	LOW	1.81	0.336	0.681	-1.902	0
atac_L02943	LOW	1.25	0.643	1.219	-1.549	2.118
atac_L03065	LOW	1.38	-0.507	-1.254	-2.348	0
atac_L03337	LOW	0.406	-0.553	-0.258	-1.363	0
atac_L03350	LOW	2.447	-0.921	-0.528	-1.543	6.667
atac_L03353	LOW	1.218	-0.306	-1.903	-1.824	0.214
atac_L03464	LOW	2.221	-0.289	-0.097	-1.574	0
atac_L03492	LOW	0.285	-3.288	-0.739	-1.846	0
atac_L03538	LOW	3.451	-0.054	-0.047	-1.568	0
atac_L03549	LOW	2.602	-0.296	0.725	-1.33	0.273
atac_L03575	LOW	2.333	0.829	0.659	-1.272	0
atac_L03576	LOW	2.627	0.646	1.214	-1.456	0
atac_L03626	LOW	0.623	-0.324	-1.644	-1.324	0.5
atac_L03707	LOW	1.066	-1.478	0.476	-1.078	0
atac_L03794	LOW	3.325	0.626	0.935	-0.141	0
atac_L03881	LOW	2.538	0.293	0.076	-1.612	0
atac_L04124	LOW	1.191	0.432	0.095	-1.87	0.167
atac_L04166	LOW	1.944	0.319	-0.166	-1.56	0.364
atac_L04168	LOW	2.396	0.265	0.644	-1.839	0
atac_L04175	LOW	1.622	0.131	0.383	-1.703	0
atac_L04360	LOW	1.314	0.476	0.38	-1.772	0
atac_L04481	LOW	2.908	-0.469	0.275	-0.73	0
atac_L04520	LOW	2.195	0.162	0.468	-0.723	0.286
atac_L04605	LOW	2.766	-0.057	0.352	-1.771	0
atac_L04629	LOW	2.897	-0.255	0.156	-1.692	0
atac_L04675	LOW	2.611	0.601	1.146	-1.389	0
atac_L04765	LOW	2.856	0.646	0.304	-1.301	0
atac_L04768	LOW	1.25	-1.495	-0.424	-1.309	0
atac_L04815	LOW	2.127	0.618	0.62	-0.902	0
atac_L04870	LOW	1.044	-0.103	0.225	-1.308	0
atac_L04969	LOW	1.057	-5.115	-1.063	-2.086	0
atac_L05133	LOW	1.729	-0.667	0.028	-1.501	12.5
atac_L05179	LOW	0.526	0.499	1.297	-1.759	0
atac_L05257	LOW	1.44	0.47	0.035	-1.627	0
atac_L05373	LOW	2.013	0.089	0.433	-1.085	0
atac_L05380	LOW	1.174	0.039	0.007	-2.568	3
atac_L05570	LOW	2.96	0.344	0.624	-1.433	0.1
atac_L05655	LOW	-0.817	-0.305	1.073	-1.468	0
atac_L05683	LOW	0.762	-3.422	-0.963	-2.404	2.1
atac_L05701	LOW	1.784	-0.066	0.355	-1.99	0
atac_L05706	LOW	2.888	-0.226	0.597	-1.768	0
atac_L05714	LOW	2.308	0.482	0.454	-1.371	0
atac_L05916	LOW	0.083	-0.068	-0.396	-1.168	0
atac_L05991	LOW	3.097	-1.262	-0.024	-1.028	0
atac_L06020	LOW	3.83	0.474	0.114	-2.07	0.5
atac_L06023	LOW	2.448	0.224	1.115	-1.841	0
atac_L06096	LOW	2.558	0.377	0.357	-1.713	0
atac_L06247	LOW	0.429	-2.366	0.072	-1.857	12.667
atac_L06269	LOW	1.841	-1.469	-1.297	-1.671	0
atac_L06274	LOW	1.707	0.18	-0.291	-1.862	0
atac_L06281	LOW	2.283	0.081	-0.157	-1.562	0
atac_L06489	LOW	2.835	-0.436	1.185	-1.693	0
atac_L06662	LOW	1.322	-3.282	-1.974	-1.657	0
atac_L06727	LOW	2.664	-0.082	0.351	-1.211	0
atac_L06800	LOW	3.667	0.412	1.052	-1.701	0
atac_L06809	LOW	2.273	0.826	-0.034	-1.87	0
atac_L06820	LOW	1.825	0.229	1.144	-1.4	0
atac_L06926	LOW	0.812	-1.179	-0.147	-2.004	0
atac_L07122	LOW	2.211	-1.01	0.091	-1.977	0
atac_L07176	LOW	1.291	0.036	0	-1.261	0
atac_L07185	LOW	0.722	-4.837	-3.223	-2.955	3.833
atac_L07225	LOW	1.666	0.427	0.552	-2.011	1.25
atac_L07249	LOW	0.461	-1.567	0.49	-1.352	0.6
atac_L07405	LOW	2.565	0.543	0.187	-2.062	0
atac_L07427	LOW	2.088	-0.65	0.81	-1.467	0.5
atac_L07513	LOW	2.123	-0.812	0.037	-1.548	0
atac_L07533	LOW	3.137	0.14	0.536	-1.521	0
atac_L07684	LOW	1.233	-2.265	-2.05	-2.293	0.583
atac_L07752	LOW	2.209	0.35	0.803	-1.436	0.286
atac_L07753	LOW	0.82	-0.624	0.447	-1.971	0
atac_L07865	LOW	3.643	-0.085	-0.075	-0.463	0.8
atac_L07953	LOW	0.882	-2.066	-1.221	-1.553	0
atac_L08088	LOW	0.84	-1.981	-3.011	-1.766	0.4
atac_L08114	LOW	2.25	0.125	-1.638	-1.983	0.15
atac_L08162	LOW	1.684	-0.692	0.332	-2.025	0
atac_L08193	LOW	0.666	-0.139	-0.237	-2.01	1.667
atac_L08203	LOW	1.941	0.047	1.26	-1.897	0
atac_L08337	LOW	2.677	0.299	0.176	-1.795	0
atac_L08375	LOW	1.057	0.15	0.12	-1.738	0
atac_L08623	LOW	2.079	0.611	-0.5	-1.188	0
atac_L08705	LOW	3.066	0.329	0.155	-1.498	0
atac_L08855	LOW	0.754	0.361	-2.906	-1.559	0
atac_L08924	LOW	2.041	-4.378	-2.847	-2.492	0
atac_L08970	LOW	0.176	-0.273	-0.641	-1.616	0
atac_L08994	LOW	2.526	0.579	0.425	-1.95	0
atac_L09047	LOW	3.004	0.479	-0.493	-1.752	0.667
atac_L09108	LOW	0.932	0.565	0.314	-1.53	0
atac_L09134	LOW	1.782	-1.094	0.268	-1.337	0.25
atac_L09142	LOW	2.524	0.562	0.396	-1.931	0.333
atac_L09315	LOW	2.907	-0.273	0.188	-1.09	0
atac_L09529	LOW	0.755	0.639	1.484	-1.884	0
atac_L09544	LOW	2.625	0.045	0.672	-0.838	0
atac_L09556	LOW	1.147	0.336	0.49	-1.524	0
atac_L09626	LOW	1.79	-0.391	0.233	-1.944	0.286
atac_L09853	LOW	1.262	0.694	1.024	-0.849	0.6
atac_L09854	LOW	1.077	0.268	0.908	-1.522	0
atac_L10001	LOW	3.097	0.073	-2.567	-1.567	0
atac_L10069	LOW	2.459	0.19	0.241	-0.336	0
atac_L10115	LOW	1.253	0.432	0.337	-1.755	0
atac_L10179	LOW	2.098	0.433	0.484	-1.585	0.316
atac_L10207	LOW	3.213	-1.353	0.474	-1.155	0
atac_L10212	LOW	0.884	0.127	0.597	-1.567	0
atac_L10350	LOW	1.556	0.033	-0.203	-1.408	12.625
atac_L10385	LOW	1.017	0.002	-1.195	-1.907	0
atac_L10414	LOW	2.203	0.176	0.32	-0.504	0
atac_L10445	LOW	-1.272	0.074	1.27	-1.448	0
atac_L10523	LOW	2.987	0.039	-0.087	-0.979	0
atac_L10561	LOW	3.239	0.123	-0.007	-1.293	0
atac_L10566	LOW	1.402	0.376	0.422	-2.209	0
atac_L10567	LOW	0.407	-0.676	0.332	-2.625	0
atac_L10613	LOW	1.928	-0.19	0.645	-1.452	0
