Term	k4me1_enh_assoc	k4me2_enh_assoc	lg_enrich	p_val	padj
GO:0000786~nucleosome	6	13	-2.038	0.00218	0.673
GO:0030527~structural_constituent_of_chromatin	5	12	-2.168	0.00269	0.828
GO:0007507~heart_development	18	2	1.904	0.0285	1
GO:0031492~nucleosomal_DNA_binding	5	8	-1.612	0.0397	1
GO:0006334~nucleosome_assembly	4	7	-1.721	0.0499	1
GO:0005829~cytosol	20	19	-0.912	0.0544	1
GO:0048703~embryonic_viscerocranium_morphogenesis	8	0	3.104	0.0571	1
GO:0061371~determination_of_heart_left/right_asymmetry	8	0	3.104	0.0571	1
GO:0006355~regulation_of_DNA-templated_transcription	65	21	0.623	0.0693	1
GO:0005667~transcription_regulator_complex	11	1	1.955	0.0697	1
GO:0045910~negative_regulation_of_DNA_recombination	2	4	-1.832	0.102	1
GO:0030901~midbrain_development	7	0	2.923	0.102	1
GO:0070161~anchoring_junction	7	0	2.923	0.102	1
GO:0008270~zinc_ion_binding	19	17	-0.828	0.103	1
GO:0009653~anatomical_structure_morphogenesis	19	4	1.132	0.118	1
GO:0006869~lipid_transport	3	5	-1.636	0.127	1
GO:0043565~sequence-specific_DNA_binding	21	5	0.983	0.141	1
GO:0008289~lipid_binding	6	7	-1.19	0.141	1
GO:0005575~cellular_component	19	16	-0.743	0.143	1
GO:0003729~mRNA_binding	21	17	-0.687	0.159	1
GO:0003700~DNA-binding_transcription_factor_activity	38	12	0.639	0.164	1
GO:0005515~protein_binding	30	9	0.699	0.168	1
GO:0000122~negative_regulation_of_transcription_by_RNA_polymerase_II	18	4	1.056	0.169	1
GO:0003140~determination_of_left/right_asymmetry_in_lateral_mesoderm	5	0	2.476	0.174	1
GO:0004721~phosphoprotein_phosphatase_activity	5	0	2.476	0.174	1
GO:0005911~cell-cell_junction	5	0	2.476	0.174	1
GO:0005975~carbohydrate_metabolic_process	5	0	2.476	0.174	1
GO:0006974~DNA_damage_response	5	0	2.476	0.174	1
GO:0014032~neural_crest_cell_development	5	0	2.476	0.174	1
GO:0035091~phosphatidylinositol_binding	5	0	2.476	0.174	1
GO:0098609~cell-cell_adhesion	5	0	2.476	0.174	1
GO:0006955~immune_response	9	1	1.679	0.178	1
GO:0045892~negative_regulation_of_DNA-templated_transcription	9	1	1.679	0.178	1
GO:0003714~transcription_corepressor_activity	6	0	2.717	0.187	1
GO:0006357~regulation_of_transcription_by_RNA_polymerase_II	96	38	0.342	0.192	1
GO:0007368~determination_of_left/right_symmetry	20	5	0.914	0.196	1
GO:0000978~RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding	74	29	0.353	0.221	1
GO:0005694~chromosome	10	9	-0.839	0.222	1
GO:0006325~chromatin_organization	3	4	-1.346	0.232	1
GO:0030261~chromosome_condensation	3	4	-1.346	0.232	1
GO:0007420~brain_development	17	4	0.976	0.24	1
GO:0003743~translation_initiation_factor_activity	7	1	1.338	0.279	1
GO:0006413~translational_initiation	7	1	1.338	0.279	1
GO:0009897~external_side_of_plasma_membrane	7	1	1.338	0.279	1
GO:0030178~negative_regulation_of_Wnt_signaling_pathway	7	1	1.338	0.279	1
GO:0043049~otic_placode_formation	7	1	1.338	0.279	1
GO:0006629~lipid_metabolic_process	8	7	-0.803	0.282	1
GO:0000381~regulation_of_alternative_mRNA_splicing	8	1	1.519	0.286	1
GO:0000045~autophagosome_assembly	2	3	-1.469	0.341	1
GO:0001556~oocyte_maturation	2	3	-1.469	0.341	1
GO:0004518~nuclease_activity	2	3	-1.469	0.341	1
GO:0006811~monoatomic_ion_transport	2	3	-1.469	0.341	1
GO:0045087~innate_immune_response	2	3	-1.469	0.341	1
GO:0003723~RNA_binding	42	27	-0.356	0.351	1
GO:0007155~cell_adhesion	9	2	0.942	0.351	1
GO:0000398~mRNA_splicing	10	2	1.087	0.355	1
GO:0003712~transcription_coregulator_activity	10	2	1.087	0.355	1
GO:0090090~negative_regulation_of_canonical_Wnt_signaling_pathway	10	2	1.087	0.355	1
GO:0000981~DNA-binding_transcription_factor_activity	78	33	0.245	0.387	1
GO:0030902~hindbrain_development	11	3	0.732	0.405	1
GO:0001755~neural_crest_cell_migration	12	3	0.853	0.408	1
GO:0070121~Kupffer's_vesicle_development	12	3	0.853	0.408	1
GO:0000151~ubiquitin_ligase_complex	3	3	-0.984	0.409	1
