Sample_Name	Total_Pairs	Yeast_Pairs	Total_Aligned_Pairs	Total_Nuclear_Pairs	Filtered_Pairs	tc_output_mono_count	PCR_Dedup_1	PCR_Dedup_2
1k_k122ac_1	13018135	20242	3401174	3312243	2293004	1128530	324503	585476
1k_k27ac_1	28724768	78421	21461027	21030752	15191982	10720816	9089741	10498647
1k_k27ac_2	11604887	778159	7282414	7266724	5101676	2998952	1165492	1998091
1k_k4me1_1	4050040	41368	2246175	2231282	1587103	671358	518930	643734
1k_k4me1_2	41135175	3891	24579333	24380922	16956014	8806719	1982641	3749546
1k_k4me1_3	4951304	1320550	687325	672912	452972	173020	84345	133305
1k_k4me1_4	7890223	1710880	2141530	2122350	1443485	584793	309289	473159
1k_k4me2_1	12074435	186712	7563310	7522836	4987165	1994424	1584734	1915980
1k_k4me3_1	24668757	593574	13671068	13428639	9257120	4305269	1887408	3072477
1k_k56ac_1	16507408	21325	4581534	4488023	3129177	1475944	406135	743370
1k_k64ac_1	9715563	7327	6548909	6522140	4726508	2570451	1501486	2196417
1k_k64ac_2	11183976	809796	6253791	6244915	4571309	2363885	468509	900175
1k_k9ac_1	17813872	6239	13026301	12996267	9337619	5241043	3005880	4438868
1k_k9ac_2	11046243	825580	5043484	5023116	3635800	1883982	584161	1058046
1k_h4k16ac_1	22811550	5091	19827468	19821286	14010435	7738882	5474115	7187460
1k_h4k16ac_2	14281554	550608	10768034	10750571	7588719	3820437	1516005	2581997
1k_igg_1	18300833	864579	8718127	8594227	5942170	2843529	1435399	2248446
1k_igg_2	8360711	571506	1999233	1961732	1329165	621348	323666	500822
dome_ntac_1	8393669	19006	6449214	6444793	4548647	1954990	1723700	1929431
dome_ntac_2	8352425	13687	6532773	6528878	4567258	2074246	1818675	2044903
dome_k122ac_1	13059774	75762	11184144	11168381	7943026	4061132	2450318	3532155
dome_k27ac_1	8017052	28217	6194557	6135942	4697040	3148663	3032718	3144916
dome_k27ac_2	17992539	43967	16383636	16358487	12513999	7857066	7396089	7831460
dome_k27ac_3	28137749	153117	22236810	22202906	15945506	10813690	3878702	6750461
dome_k27ac_4	9331267	99332	6840519	6826360	4922820	3100124	2081198	2828925
