name	PC1	PC2	PC3	PC4	PC5	PC6	category
atac_L28307	0.134	0.337	-0.585	-0.642	0.716	-1.56	enh
atac_P05131	-4.223	1.23	-0.589	-0.435	-0.283	0.576	enh
atac_L28321	-1.318	0.114	-0.43	-0.692	0.198	-0.484	enh
atac_L28328	-4.427	1.035	-0.344	-0.094	-0.236	-1.126	enh
atac_L28330	1.655	-1.067	-0.144	-1.528	-0.171	0.829	enh
atac_L28332	-4.243	-1.386	0.041	-1.136	0.162	1.876	enh
atac_L28333	-3.257	0.805	0.169	-0.436	0.307	-0.765	enh
atac_L28335	-2.325	-0.236	0.198	-0.068	0.407	-1.464	enh
atac_L28340	-4.124	-1.025	1.271	-1.712	-0.23	2.72	enh
atac_L28341	1.044	-1.805	-0.135	-1.57	1.612	1.253	enh
atac_P05135	-5.007	-0.086	0.059	0.098	-0.248	-0.499	enh
atac_L28348	-2.39	-0.903	1.141	0.299	-0.542	-0.682	enh
atac_L28354	-2.599	-0.518	0.965	-0.595	-0.413	-0.888	enh
atac_L28365	-5.996	-1.027	-0.475	0.141	0.697	-0.35	enh
atac_L28366	-4.414	-0.535	0.446	-0.179	-0.345	-0.4	enh
atac_L28368	1.686	2.739	0.482	2.994	0.989	-0.363	enh
atac_L28370	-3.514	-0.289	0.591	-0.188	-1.432	-0.434	enh
atac_L28373	-2.089	1.009	1.511	-1.328	0.456	0.259	enh
atac_L28378	-2.989	-1.105	-0.602	-0.232	-0.954	-0.18	enh
atac_L28390	-2.299	0.673	0.313	-0.139	-0.376	2.037	enh
atac_L28396	4.134	-0.912	0.761	0.194	-1.574	0.491	enh
atac_L28399	-4.602	-1.144	-0.647	0.946	0.321	-0.182	enh
atac_P05143	-1.56	-1.17	1.551	-0.476	0.865	0.217	enh
atac_P05144	-1.434	1.212	0.956	-0.986	0.001	0.284	enh
atac_L28409	-2.977	-1.276	1.565	-0.054	-1.326	1.584	enh
atac_L28412	0.266	1.145	0.927	0.793	-0.234	-0.547	enh
atac_L28417	-3.486	0.959	0.745	-0.492	0.466	-0.946	enh
atac_L28418	-1.333	0.292	1.029	2.674	0.013	-0.65	enh
atac_L28420	-3.543	-0.453	0.165	-0.112	-0.055	-1.16	enh
atac_L28423	-1.087	-0.16	-0.438	-1.07	0.022	1.18	enh
atac_L28426	-2.253	-0.225	0.532	-0.57	-1.475	0.307	enh
atac_P05148	0.15	0.216	1.088	-1.072	-0.831	-0.171	enh
atac_L28453	-2.764	-0.234	0.394	-0.248	-1.292	-1.186	enh
atac_L28460	0.611	2.284	0.559	-0.317	4.189	-1.377	enh
atac_L28461	0.85	2.005	-0.075	-1.447	1.444	0.703	enh
atac_L28467	-0.686	-0.104	1.105	-0.798	-1.208	-1.24	enh
atac_L28468	-3.37	-1.398	0.655	-0.541	1.016	-1.025	enh
atac_L28471	3.788	1.018	-1.876	3.924	-0.044	0.209	enh
atac_L28473	3.501	2.93	1.505	1.371	0.79	0.399	enh
atac_L28475	-3.988	-0.335	0.798	0.399	-0.252	-1.082	enh
atac_L28478	-3.271	0.515	0.648	-0.335	0.725	-1.236	enh
atac_L28483	0.335	1.125	0.315	-0.108	-0.659	-1.77	enh
atac_L28494	-4.791	0.5	0.657	1.658	-0.027	0.166	enh
atac_L28497	-1.965	-1.411	1.323	-0.058	-1.072	-0.448	enh
atac_L28498	0.816	-1.313	-0.342	-0.486	1.657	-1.028	enh
