name	PC1	PC2	group
atac_L28356	0.671	-2.058	highk4_prom
atac_L28357	1.908	-3.591	highk4_prom
atac_L28372	4.167	-2.822	highk4_prom
atac_L28394	1.975	-2.876	highk4_prom
atac_L28414	3.726	-1.607	highk4_prom
atac_L28432	5.15	-2.788	highk4_prom
atac_L28437	4.593	-0.758	highk4_prom
atac_L28439	4.693	-0.198	highk4_prom
atac_L28463	2.805	-3.814	highk4_prom
atac_L28515	5.25	-0.548	highk4_prom
atac_L28542	4.105	0.006	highk4_prom
atac_L28570	1.923	-1.051	highk4_prom
atac_P05165	3.122	-2.602	highk4_prom
atac_L28689	2.841	-0.434	highk4_prom
atac_L28690	1.435	-0.072	highk4_prom
atac_L28740	3.894	-1.003	highk4_prom
atac_L28761	5.686	-2.374	highk4_prom
atac_L28798	4.863	-2.256	highk4_prom
atac_L28815	5.28	-1.861	highk4_prom
atac_L28817	2.613	-1.19	highk4_prom
atac_L28838	1.646	-0.059	highk4_prom
atac_L28841	0.189	-1.574	highk4_prom
atac_L28845	4.726	-1.592	highk4_prom
atac_L28848	1.382	-0.848	highk4_prom
atac_L28855	3.963	-1.857	highk4_prom
atac_L28871	4.91	-1.305	highk4_prom
atac_L28878	2.596	-1.99	highk4_prom
atac_L28924	1.3	-1.157	highk4_prom
atac_L28935	2.986	-1.006	highk4_prom
atac_L28968	7.042	-3.138	highk4_prom
atac_L29002	-0.645	-0.881	highk4_prom
atac_L29024	4.95	-1.357	highk4_prom
atac_L29072	5.169	-0.503	highk4_prom
atac_P05219	1.827	-0.151	highk4_prom
atac_L29120	2.235	-0.079	highk4_prom
atac_L29166	5.191	-2.288	highk4_prom
atac_P05246	3.771	-1.458	highk4_prom
atac_L29233	3.608	-2.068	highk4_prom
atac_L29243	3.781	-1.665	highk4_prom
atac_L29296	4.955	-2.689	highk4_prom
atac_L29300	7.398	-0.164	highk4_prom
atac_L29305	4.274	-0.97	highk4_prom
atac_L29311	6.04	-2.059	highk4_prom
atac_L29339	3.559	-1.221	highk4_prom
atac_L29444	8.163	-1.535	highk4_prom
atac_L29450	5.541	-3.465	highk4_prom
atac_L30269	0.859	-3.503	highk4_prom
atac_L30325	1.875	-0.139	highk4_prom
atac_L30365	1.031	-1.737	highk4_prom
atac_L30414	1.886	-1.169	highk4_prom
atac_L34651	2.236	-1.234	highk4_prom
atac_L34730	3.362	-0.628	highk4_prom
atac_L34752	3.936	-0.443	highk4_prom
atac_L34769	2.622	0.154	highk4_prom
atac_L34781	2.992	-0.254	highk4_prom
atac_L34800	4.031	-0.545	highk4_prom
atac_L34805	1.193	-0.901	highk4_prom
atac_L34809	1.564	-2.623	highk4_prom
atac_L34811	-0.957	-1.14	highk4_prom
atac_L34817	0.911	-0.264	highk4_prom
atac_L34819	2.701	-0.733	highk4_prom
atac_L34820	4.937	-0.722	highk4_prom
atac_P06133	6.791	-1.231	highk4_prom
atac_L34917	3.112	0.299	highk4_prom
atac_L34941	6.485	-3.473	highk4_prom
atac_L34943	2.623	-0.82	highk4_prom
atac_L34972	2.379	0.482	highk4_prom
atac_L35001	5.456	-0.309	highk4_prom
atac_L35077	1.371	-1.964	highk4_prom
