name	group	k4me1	k4me2	k4me3	k9ac	k27ac	h4k16ac	ntac	k56ac	k64ac	k122ac	igg
atac_L28307	k4me1_enh	3.94	3.289	1.124	1.575	1.735	1.744	2.116	0	1.068	1.313	1.822
atac_L28471	k4me1_enh	4.183	2.552	0.363	1.832	1.884	1.371	1.696	3.671	3.003	0.782	0.969
atac_L28516	k4me1_enh	4.305	1.629	1.684	2.279	2.481	1.39	1.44	1.288	2.815	1.515	1.122
atac_L28517	k4me1_enh	4.812	1.386	0.814	2.429	2.321	1.714	2.246	0	2.772	2.065	1.667
atac_L28531	k4me1_enh	5.232	1.156	1.488	2.548	2.723	1.072	1.327	2.134	3.416	1.826	0.871
atac_L28592	k4me1_enh	4.173	1.186	0.678	2.177	1.824	1.623	3.226	2.176	3.435	1.707	0.78
atac_L28630	k4me1_enh	3.577	1.52	0.852	1.569	1.181	1.214	1.928	2.149	1.566	1.683	1.084
atac_L28643	k4me1_enh	3.547	1.541	1.276	1.812	1.571	1.44	1.625	0	1.69	2.135	1.364
atac_L28663	k4me1_enh	3.379	1.696	0.84	1.39	1.163	1.217	1.102	2.032	2.298	1.218	0.589
atac_L28677	k4me1_enh	3.664	0.611	1.203	2.115	2.229	1.222	0.721	3.049	3.002	0.392	0.56
atac_L28693	k4me1_enh	3.607	0	1.185	1.12	2.036	1.646	1.499	0	1.878	1.327	0.895
atac_L28757	k4me1_enh	4.135	1.187	1.186	2.124	1.935	1.549	1.628	0	2.564	1.866	1.103
atac_L28758	k4me1_enh	3.4	0.701	1.073	2.86	2.149	1.929	2.115	0	2.305	1.079	1.571
atac_L28763	k4me1_enh	3.542	1.146	1.049	1.462	1.772	1.598	1.578	2.589	1.043	1.483	1.241
atac_L28788	k4me1_enh	3.432	2.17	1.366	1.723	1.921	1.361	1.541	2.543	1.604	0.757	0.608
atac_L28839	k4me1_enh	4.423	1.439	1.097	2.202	1.52	1.753	1.927	0	1.923	2.014	1.018
atac_L28850	k4me1_enh	4.338	2.256	0.671	2.052	1.356	0.905	1.488	2.161	1.95	0.457	1.185
atac_L28891	k4me1_enh	3.823	1.722	1.191	1.708	1.601	1.7	2.102	2.525	2.894	2.022	1.49
atac_L28895	k4me1_enh	3.959	0	1.134	1.81	1.972	1.925	1.029	0	1.474	0	1.28
atac_L28936	k4me1_enh	4.748	1.812	0.971	1.728	1.96	0.691	2.03	3.272	2.597	1.515	0.771
atac_L28946	k4me1_enh	5.171	3.347	1.691	2.694	1.735	1.742	2.002	0	2.667	1.491	1.615
atac_L28979	k4me1_enh	3.379	1.159	0.786	1.39	1.718	1.326	2.097	0	2.9	1.298	1.254
atac_L28982	k4me1_enh	5.67	3.306	1.519	3.395	2.544	1.944	3.049	2.171	2.502	1.089	1.362
atac_L28984	k4me1_enh	4.995	1.167	0.91	2.564	2.45	2.187	2.668	2.149	2.639	2.229	1.177
atac_L28991	k4me1_enh	4.368	0	1.075	2.16	2.928	2.131	1.346	3.714	2.747	1.849	1.704
atac_L29028	k4me1_enh	3.852	3.764	0.859	1.11	1.258	1.456	1.487	0	1.214	1.693	0.647
atac_L29036	k4me1_enh	4.843	1.185	1.483	2.175	2.255	1.907	1.625	2.174	1.356	1.863	0.894
atac_L29056	k4me1_enh	3.939	1.097	1.266	1.136	1.493	1.286	1.736	2.514	1.375	0.743	1.724
atac_L29077	k4me1_enh	5.634	2.721	0.99	3.421	2.969	2.451	2.749	2.03	4.04	2.214	1.465
atac_L29078	k4me1_enh	3.85	1.174	1.471	2.405	1.688	1.608	1.193	2.158	1.463	1.849	0.646
atac_L29080	k4me1_enh	4.464	0	0.669	2.725	2.488	2.025	2.734	0	3.384	1.514	1.182
atac_L29081	k4me1_enh	3.427	0	1.234	1.746	1.779	1.17	1.746	3.737	3.281	1.867	0.364
atac_L29100	k4me1_enh	3.345	0	1.13	3.319	2.658	2.267	3.292	0	3.127	2.127	1.276
atac_L29102	k4me1_enh	4.766	1.088	1.296	1.931	1.922	1.908	1.724	2.037	2.36	1.874	1.009
atac_L29103	k4me1_enh	3.6	0	0.863	0.415	1.928	1.196	1.2	3.284	0.736	2	1.191
atac_L29154	k4me1_enh	3.589	1.14	0.941	1.613	2.336	1.362	2.627	2.581	2.323	0.44	0.962
atac_L29157	k4me1_enh	3.594	1.144	0.714	2.17	1.96	1.025	0.801	3.664	1.823	1.48	1.604
atac_L29170	k4me1_enh	3.961	0	0.925	1.507	1.677	1.804	1.03	0	0.531	1.326	1.364
atac_L29176	k4me1_enh	5.016	1.179	0.92	2.319	2.264	1.539	2.565	2.165	2.11	1.521	0.649
atac_L29188	k4me1_enh	5.868	2.039	1.211	3.599	2.851	2.068	2.666	2.619	3.941	1.682	1.631
atac_L29210	k4me1_enh	3.741	0.659	1.32	2.171	1.971	1.788	1.943	0	2.448	1.02	1.03
atac_L29211	k4me1_enh	3.776	1.13	1.458	2.045	2.381	1.295	2.14	2.097	1.296	0.435	0.849
atac_L29217	k4me1_enh	3.369	1.784	1.055	2.46	2.192	1.844	1.701	0	2.073	0	1.329
atac_L29218	k4me1_enh	4.122	2.136	1.339	2.669	2.551	1.765	2.609	3.912	3.058	1.004	1.184
atac_L29221	k4me1_enh	3.949	2.869	0.375	0	1.043	1.16	1.024	2.163	2.437	1.084	0.888
atac_L29307	k4me1_enh	4.416	1.799	1.254	2.912	2.543	1.859	1.923	2.144	2.822	1.071	0.639
atac_L29323	k4me1_enh	3.914	0.691	1.412	2.663	2.637	2.09	2.329	2.96	2.978	2.691	1.41
atac_L29351	k4me1_enh	4.326	1.149	0.838	2.126	1.633	1.316	3.245	2.948	2.612	0.783	1.067
atac_L29361	k4me1_enh	3.879	1.163	0.849	2.433	2.063	1.898	1.715	0	2.473	1.303	1.259
atac_L29365	k4me1_enh	4.432	1.137	0.99	2.259	2.391	1.563	2.227	2.575	2.947	2.068	1.312
atac_L29376	k4me1_enh	4.174	0.592	1.011	2.117	1.832	1.598	2.307	2.723	2.851	1.323	0.652
atac_L29388	k4me1_enh	3.737	1.802	1.165	2.3	2.177	1.669	2.269	0	2.092	0	0
atac_L29434	k4me1_enh	5.931	0	1.161	2.971	2.868	2.046	2.185	4.032	3.454	2.616	1.34
atac_L29436	k4me1_enh	4.135	0	1.036	1.815	2.224	1.574	0.607	2.177	2.045	1.329	1.003
atac_L29437	k4me1_enh	4.041	0	0.74	2.058	2.283	2.105	1.945	2.167	1.956	1.523	1.097
atac_L29441	k4me1_enh	3.873	0	1.279	1.593	2.374	1.102	2.221	0	1.966	0.813	0.781
atac_L29442	k4me1_enh	3.973	1.769	0.887	2.4	2.674	2.101	2.072	3.218	2.872	1.805	0.624
atac_L29452	k4me1_enh	3.536	0	0.604	1.113	1.12	1.564	1.024	0	2.551	0	0.774
atac_L29504	k4me1_enh	3.557	1.506	0.366	1.386	0.859	0.585	1.464	0	0.515	0	0.5
atac_L29537	k4me1_enh	3.637	1.807	1.215	2.527	2.439	1.907	2.419	2.152	3.284	0.799	1.76
atac_L29598	k4me1_enh	3.408	2.256	0.374	0.582	1.764	1.223	2.033	0	0.912	0	0.36
atac_L29605	k4me1_enh	4.322	0	0.73	0.863	1.704	1.473	0.819	2.148	1.205	1.074	0.765
