name	category	PC1	PC2	PC3
atac_L28307	enh	0.648	-0.331	-0.437
atac_P05131	enh	-5.228	0.893	-1.625
atac_L28321	enh	-1.541	-0.014	-0.624
atac_L28328	enh	-5.623	0.621	-0.538
atac_L28330	enh	1.844	-1.142	-0.347
atac_L28332	enh	-5.629	-1.759	-0.198
atac_L28333	enh	-3.994	0.456	-0.015
atac_L28335	enh	-3.136	-0.197	0.811
atac_L28340	enh	-5.453	-1.236	0.65
atac_L28341	enh	1.479	-2.647	-1.474
atac_P05135	enh	-6.123	-0.214	0.262
atac_L28348	enh	-3.109	-0.733	1.741
atac_L28354	enh	-3.306	-0.667	1.21
atac_L28365	enh	-7.286	-1.376	-0.409
atac_L28366	enh	-5.281	-0.249	0.647
atac_L28368	enh	2.031	3.319	0.65
atac_L28370	enh	-4.492	-0.013	0.741
atac_L28373	enh	-3.284	1.307	1.295
atac_L28378	enh	-4.022	-1.581	-0.436
atac_L28390	enh	-3.303	0.766	0.341
atac_L28396	enh	5.675	-1.272	1.519
atac_L28399	enh	-5.442	-1.701	-1.23
atac_P05143	enh	-2.375	-0.771	2.437
atac_P05144	enh	-2.146	1.296	1.07
atac_L28409	enh	-3.888	-0.919	1.575
atac_L28412	enh	0.613	2.209	1.87
atac_L28417	enh	-4.532	0.804	0.823
atac_L28418	enh	-1.61	0.514	1.779
atac_L28420	enh	-4.363	-0.572	0.584
atac_L28423	enh	-1.82	-0.368	-0.447
atac_L28426	enh	-3.41	0.014	0.588
atac_P05148	enh	-0.321	0.038	1.824
atac_L28453	enh	-3.249	-0.464	1.113
atac_L28460	enh	1.045	3.155	0.837
atac_L28461	enh	1.11	2.646	-0.743
atac_L28467	enh	-1.913	0.212	1.537
atac_L28468	enh	-4.243	-1.358	1.044
atac_L28471	enh	4.679	1.134	-2.799
atac_L28473	enh	4.355	4.217	1.614
atac_L28475	enh	-5.316	-0.212	0.911
atac_L28478	enh	-4.155	0.57	1.092
atac_L28483	enh	0.505	1.117	1.597
atac_L28494	enh	-5.994	0.007	0.405
atac_L28497	enh	-3.038	-0.91	2.222
atac_L28498	enh	1.379	-1.913	-0.34
atac_L28499	enh	-1.945	0.172	2.923
atac_L28501	enh	-1.96	2.109	1.048
atac_L28504	enh	-0.748	1.213	1.865
atac_L28509	enh	-4.415	1.396	-1.004
atac_L28516	enh	4.8	2.035	-1.154
atac_L28517	enh	6.727	3.455	-1.717
atac_L28518	enh	-3.582	0.645	1.83
atac_L28521	enh	-2.504	0.947	0.003
atac_L28522	enh	-5.737	0.251	0.324
atac_L28525	enh	-5.55	-0.277	0.465
atac_L28528	enh	-6.791	-0.492	-0.676
atac_L28531	enh	7.46	3.175	-2.19
atac_L28532	enh	3.848	1.619	2.181
atac_L28533	enh	-2.047	-1.546	-0.693
atac_L28536	enh	-2.694	0.834	2.238
atac_P05151	enh	-1.71	1.148	2.747
atac_L28545	enh	-2.375	0.754	0.949
atac_L28546	enh	-0.99	1.094	0.408
atac_L28550	enh	-4.101	0.64	0.329
atac_L28564	enh	-5.335	1.241	0.766
atac_L28572	enh	3.316	2.614	1.685
atac_P05153	enh	-0.592	0.732	3.131
atac_L28582	enh	-1.923	-0.356	1.857
atac_L28583	enh	-5.541	-0.654	0.554
atac_L28584	enh	-4.131	0.701	1.222
atac_L28589	enh	1.873	1.559	1.121
atac_L28592	enh	5.96	5.255	-0.58
atac_L28598	enh	-6.953	-0.389	-0.378
atac_L28610	enh	-4.611	-0.7	0.67
atac_P05160	enh	0.089	0.977	2.341
atac_P05161	enh	-4.624	-0.804	1.648
atac_P05162	enh	-2.348	1.327	2.089
atac_L28630	enh	-2.471	0.98	-2.098
atac_L28643	enh	0.717	0.516	0.499
atac_L28644	enh	-0.439	0.538	1.585
atac_L28657	enh	-3.282	1.275	0.652
atac_L28659	enh	2.933	1.501	1.47
atac_L28660	enh	-2.961	0.855	1.21
atac_L28661	enh	0.373	0.837	1.585
atac_L28663	enh	-2.159	-1.398	-0.469
atac_L28664	enh	-2.459	0.183	1.093
atac_L28665	enh	-8.382	-0.399	-2.032
atac_L28666	enh	-3.186	0.898	2.34
atac_L28669	enh	-1.536	-0.638	-0.398
atac_L28671	enh	-3.118	-0.372	1.295
atac_L28672	enh	-3.676	0.73	1.397
atac_L28677	enh	3.377	3.301	-1.03
atac_L28679	enh	-4.95	-0.11	0.231
atac_L28682	enh	-4.557	-0.409	-0.236
atac_L28687	enh	-5.685	-0.941	-0.333
atac_L28691	enh	-4.327	1.246	0.713
atac_L28692	enh	0.179	1.521	0.519
atac_L28693	enh	1.662	2.858	-0.582
atac_L28695	enh	4.244	3.147	1.182
atac_L28699	enh	-2.246	0.528	2.408
atac_L28700	enh	-5.557	-0.063	0.381
atac_P05171	enh	-2.842	0.332	-1.705
atac_L28702	enh	-3.403	0.032	0.41
atac_L28703	enh	-2.166	-2.366	0.402
atac_L28704	enh	-3.9	-0.95	0.857
atac_L28706	enh	-3.527	0.754	1.986
atac_L28715	enh	-2.129	0.487	0.868
atac_P05172	enh	-3.799	1.256	0.789
atac_P05173	enh	-3.226	0.235	0.981
atac_L28727	enh	-1.625	0.818	2.353
atac_L28730	enh	-3.378	-0.728	0.506
atac_P05175	enh	-2.355	-0.049	2.61
atac_L28738	enh	-1.145	1.511	1.302
atac_P05176	enh	-0.282	1.127	1.265
atac_L28745	enh	-1.982	1.389	3.165
atac_L28746	enh	-3.413	0.626	1.422
atac_L28747	enh	-2.848	0.642	1.493
atac_P05180	enh	-1.465	2.258	2.014
atac_L28752	enh	1.539	2.099	-0.299
atac_L28757	enh	0.486	0.131	-0.634
atac_L28758	enh	5.954	4.553	0.235
atac_L28759	enh	4.653	2.198	3.436
atac_L28763	enh	2.639	2.54	0.838
atac_L28765	enh	-2.303	-2.34	1.317
atac_L28768	enh	-5.147	-0.037	1.215
atac_L28772	enh	-3.912	-0.36	0.211
atac_L28773	enh	-4.507	-1.451	0.028
atac_P05184	enh	-0.903	1.611	0.149
atac_L28785	enh	-0.071	3.309	-1.089
atac_L28786	enh	-1.745	1.181	0.46
atac_L28787	enh	-1.467	1.496	-0.496
atac_L28788	enh	2.175	1.345	-0.271
atac_L28801	enh	-2.97	0.91	2.088
atac_L28809	enh	-1.934	0.455	2.247
atac_L28812	enh	-2.46	-0.486	2.077
atac_L28813	enh	-2.41	-0.074	1.399
atac_L28820	enh	4.349	2.429	4.752
atac_L28836	enh	-0.868	0.256	0.487
atac_L28837	enh	0.587	1.667	1.091
atac_L28839	enh	4.57	2.83	-1.592
atac_L28843	enh	-2.793	0.647	1.705
atac_L28846	enh	0.946	2.128	1.266
atac_L28849	enh	1.479	1.996	3.565
atac_L28850	enh	1.093	0.054	-0.884
atac_L28852	enh	-2.561	-1.232	0.448
atac_L28853	enh	-2.932	0.452	1.607
atac_L28857	enh	1.498	2.187	-0.919
atac_P05187	enh	-1.655	-0.352	2.301
atac_P05188	enh	-2.856	0.349	2.36
atac_P05190	enh	-1.446	0.274	1.303
atac_L28876	enh	-6.108	-0.924	-0.312
atac_L28891	enh	4.303	3.02	-1.059
atac_L28895	enh	1.242	3.534	-1.46
atac_L28897	enh	-2.082	-0.386	0.531
atac_L28900	enh	3.459	-2.874	0.136
atac_L28902	enh	-7.044	-0.831	-0.828
atac_L28903	enh	-5.293	-0.767	-0.714
atac_L28907	enh	1.19	0.757	-0.015
atac_L28915	enh	-2.251	-0.075	0.573
atac_L28916	enh	-5.009	-1.808	0.745
atac_L28918	enh	-1.22	1.562	1.474
atac_L28919	enh	0.051	1.392	2.971
atac_L28930	enh	3.301	-0.327	-1.535
atac_L28936	enh	4.389	3.605	-2.582
atac_L28941	enh	-2.929	-0.079	0.757
atac_P05197	enh	-2.725	-0.241	1.616
atac_L28943	enh	0.213	2.301	1.915
atac_L28946	enh	5.376	0.988	-2.743
atac_L28954	enh	-1.484	1.145	2.045
atac_L28960	enh	-2.117	-1.265	1.562
atac_L28963	enh	-3.664	-0.409	1.114
atac_L28979	enh	2.075	1.951	-1.041
atac_L28982	enh	8.511	2.716	-1.22
atac_L28984	enh	7.49	4.433	-1.983
atac_P05205	enh	0.034	3.207	1.049
atac_L28991	enh	6.83	5.103	0.103
atac_L28995	enh	-3.955	0.417	0.548
atac_L29004	enh	1.542	0.827	-0.443
atac_L29005	enh	-4.687	-0.704	0.031
atac_P05208	enh	-3.208	0.399	1.39
atac_L29006	enh	-2.484	0.337	2.185
atac_L29018	enh	-1.64	-0.238	1.527
atac_L29027	enh	-1.985	0.799	-2.065
atac_L29028	enh	1.527	-0.375	-2.379
atac_L29029	enh	-3.426	0.324	2
atac_P05211	enh	0.525	1.832	2.547
atac_L29032	enh	0.188	0.788	1.494
atac_P05212	enh	-2.353	0.318	1.282
atac_L29033	enh	-0.125	0.599	2.23
atac_L29036	enh	4.987	2.547	-0.929
atac_P05214	enh	-2.1	0.164	0.658
atac_L29040	enh	0.568	1.295	0.127
atac_L29044	enh	-2.167	-0.187	1.863
atac_L29045	enh	-1.006	1.026	0.841
atac_L29047	enh	0.914	1.552	0.674
atac_L29055	enh	-0.949	1.192	3.034
atac_L29056	enh	1.532	2.77	-1.952
atac_L29065	enh	-3.423	-1.078	1.624
atac_L29073	enh	4.212	1.434	-0.914
atac_L29077	enh	11.694	4.407	-1.071
atac_L29078	enh	3.549	2.108	0.179
atac_L29080	enh	6.139	5.423	-0.993
atac_L29081	enh	3.213	3.287	0.479
atac_P05217	enh	0.769	2.544	2.186
atac_L29097	enh	-1.667	-0.303	2.655
atac_L29099	enh	-0.717	1.935	1.579
atac_L29100	enh	6.174	4.757	1.343
atac_L29102	enh	2.811	2.708	0.234
atac_L29103	enh	1.586	2.399	-0.997
atac_L29106	enh	1.671	2.877	2.07
atac_L29107	enh	0.108	0.788	0.173
atac_L29112	enh	-1.593	1.1	-1.023
atac_L29115	enh	-3.522	1.132	1.11
atac_P05228	enh	-2.431	1.207	1.794
atac_L29118	enh	-3.75	-0.041	0.379
atac_L29119	enh	-5.493	-0.789	0.499
atac_L29128	enh	-1.81	-0.087	2.473
atac_L29129	enh	-4.34	-0.065	1.53
atac_L29130	enh	-4.352	0.284	1.606
atac_L29135	enh	-4.254	-0.952	1.48
atac_P05232	enh	-0.229	1.163	3.002
atac_L29141	enh	5.38	0.034	-2.752
atac_L29152	enh	1.213	2.636	0.223
atac_L29153	enh	-0.965	1.604	0.173
atac_L29154	enh	3.81	3.202	-0.738
atac_L29157	enh	2.955	2.179	-0.684
atac_L29170	enh	1.513	1.897	0.41
atac_L29172	enh	-1.994	-1.233	1.055
atac_P05238	enh	-4.284	-0.946	0.599
atac_L29176	enh	4.628	3.523	-2.114
atac_L29179	enh	-1.699	0.833	1.332
atac_L29184	enh	-5.147	0.835	-0.243
atac_L29188	enh	10.171	3.087	-2.347
atac_P05241	enh	-3.365	-0.381	2.285
atac_L29190	enh	-1.919	0.754	1.991
atac_L29191	enh	0.691	3.112	3.719
atac_L29194	enh	-0.769	2.373	-0.263
atac_L29196	enh	-2.055	1.53	2.009
atac_L29201	enh	7.674	-0.287	0.678
atac_L29203	enh	-0.616	0.096	1.821
atac_L29206	enh	1.142	2.455	1.083
atac_L29209	enh	0.545	0.07	1.968
atac_L29210	enh	2.892	2.306	-0.047
atac_L29211	enh	2.179	3.76	-0.701
atac_L29217	enh	3.879	2.333	1.84
atac_L29218	enh	6.597	4.016	0.101
atac_L29221	enh	-1.442	-0.825	-3.299
atac_L29225	enh	-5.217	-1.701	-0.079
atac_L29231	enh	7.623	-1.599	1.976
atac_L29232	enh	8.852	-0.718	2.736
atac_L29234	enh	-1.124	0.319	0.445
atac_P05249	enh	-2.953	-0.055	0.647
atac_P05250	enh	-2.66	1.45	1.455
atac_L29254	enh	-2.911	2.348	0.541
atac_L29257	enh	-1.305	1.196	1.039
atac_L29264	enh	-5.136	-1.201	-0.704
atac_L29265	enh	-1.6	0.658	-0.911
atac_L29266	enh	-4.976	-0.068	-1.33
atac_L29267	enh	1.17	2.684	-0.946
atac_P05253	enh	-3.292	0.077	1.854
atac_L29268	enh	-2.785	-0.355	0.559
atac_L29269	enh	2.199	2.686	0.414
atac_P05254	enh	1.913	2.464	0.843
atac_L29273	enh	-0.328	2.068	1.091
atac_L29274	enh	-6.55	0.059	0.126
atac_L29278	enh	-2.171	0.968	1.69
atac_L29280	enh	1.717	2.264	-1.792
atac_L29284	enh	-4.379	-0.33	0.8
atac_L29293	enh	-3.269	-0.293	0.914
atac_P05256	enh	-2.422	-0.541	1.812
