PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66
dome_k4me1_up_1	0.144	0.002	-0.221	0.151	-0.044	0.035	-0.073	0.071	-0.06	0.005	-0.015	0.005	-0.013	0.007	0.052	-0.042	0.036	0.045	0.091	-0.032	-0.095	0.037	0.033	0.01	-0.106	-0.195	0.276	0.04	0.034	0.02	-0.029	-0.032	-0.037	-0.005	0.071	0.061	0.019	0.019	0.029	0.013	-0.075	-0.067	-0.065	-0.187	0.091	-0.024	-0.028	-0.05	-0.141	0.068	0.297	-0.229	-0.246	0.623	0.131	0.062	-0.022	-0.07	0.056	0.034	-0.05	-0.02	-0.094	0.024	-0.008	0.012
dome_k4me1_up_2	0.138	0.051	-0.216	0.158	-0.069	0.01	-0.092	0.065	-0.052	-0.005	-0.021	0.003	-0.068	0.006	0.102	-0.07	-0.021	0.122	0.119	-0.06	-0.115	0.019	-0.006	0.033	-0.115	0.131	-0.094	-0.03	0.127	-0.046	-0.171	-0.002	0.035	-0.045	0.062	0.054	0.036	0.006	0.049	0.051	-0.081	-0.101	-0.07	-0.299	0.148	-0.046	-0.112	-0.024	-0.256	0.077	-0.617	0.272	-0.06	-0.034	-0.012	-0.032	0.034	-0.034	0.01	-0.116	0.119	0.012	-0.057	0.006	0.019	-0.025
dome_k4me1_up_3	0.143	0.051	-0.218	0.154	-0.063	0.021	-0.084	0.062	-0.055	0.001	-0.014	0.006	-0.059	0.021	0.098	-0.077	-0.037	0.09	0.099	-0.041	-0.115	0.028	-0.013	0	-0.086	0.037	-0.054	-0.025	-0.13	-0.007	0.237	0.003	0.022	-0.074	0.019	0.066	-0.003	-0.001	0.053	0.009	-0.068	-0.079	-0.061	-0.232	0.103	-0.004	-0.066	-0.008	-0.163	0.074	0.348	-0.276	0.234	-0.462	-0.336	0.06	0.058	-0.024	0.021	0.071	-0.089	0.097	0.094	-0.017	0.005	-0.001
dome_k4me1_center_1	0.113	0.063	-0.265	-0.026	0.128	-0.008	-0.088	0.084	-0.061	-0.006	0.016	-0.014	0.023	0.016	-0.024	0.03	0.098	-0.085	0.039	-0.001	-0.005	0.042	0.07	0.022	-0.088	-0.388	0.512	0.1	0.075	0.098	-0.092	-0.085	-0.085	0.19	0.124	0.132	0.026	-0.042	-0.04	-0.014	0.036	-0.018	0.088	0.159	-0.088	-0.002	-0.003	0.074	0.059	-0.256	-0.083	0.138	0.136	-0.221	-0.031	-0.017	-0.007	0.028	-0.088	-0.08	0.138	0.178	0.172	0.008	0.029	-0.017
dome_k4me1_center_2	0.103	0.142	-0.258	-0.012	0.116	-0.034	-0.149	0.068	-0.061	-0.011	-0.003	-0.009	-0.049	0.017	0.046	-0.032	-0.008	0.054	0.069	-0.041	0.008	0	-0.01	0.102	-0.085	0.331	-0.304	-0.047	0.316	-0.032	-0.447	-0.006	0.107	0.152	0.048	0.046	0.013	-0.044	-0.01	-0.005	0.066	0.066	0.057	0.146	-0.103	0.005	0.058	0.068	0.07	-0.319	0.228	-0.034	0.009	0.026	0.02	0.023	-0.017	0.024	0.043	0.193	-0.149	-0.022	0.027	-0.004	-0.001	0.016
dome_k4me1_center_3	0.106	0.143	-0.265	-0.01	0.12	-0.031	-0.12	0.069	-0.054	-0.002	0.009	-0.007	-0.034	0.035	0.03	-0.044	-0.016	-0.001	0.034	0.007	-0.023	-0.019	0.01	0.02	-0.021	0.102	-0.22	0.029	-0.356	0.086	0.588	0.024	0.075	0.035	0.033	0.086	-0.056	-0.087	-0.002	-0.02	0.053	0.025	0.067	0.116	-0.094	0	0.036	0.079	0.037	-0.337	-0.067	0.143	-0.069	0.158	0.089	-0.011	-0.033	0.004	0	-0.055	0.13	-0.101	-0.196	0.009	0.009	0.004
dome_k4me1_down_1	0.146	-0.039	-0.277	-0.102	-0.03	0.112	-0.095	0.048	-0.032	-0.011	0.016	-0.01	0.029	0.016	-0.063	0.073	0.047	-0.09	-0.071	0.033	0.075	0.003	0.034	0.012	0.014	-0.137	0.143	0.022	0.025	0.013	-0.031	0.031	-0.014	-0.026	-0.096	-0.079	-0.006	0.01	-0.025	-0.007	0.022	0.039	0.002	0.089	-0.015	0.025	0.011	-0.053	0.099	0.23	-0.114	0.034	0	-0.206	-0.057	-0.032	0.023	0.028	0.164	0.194	-0.311	-0.494	-0.46	-0.052	-0.102	0.049
dome_k4me1_down_2	0.14	0.022	-0.289	-0.083	-0.041	0.113	-0.131	0.03	-0.028	-0.011	0.011	-0.012	-0.001	0.001	-0.059	0.051	0.003	-0.031	-0.065	0.032	0.099	-0.031	0.016	0.03	0.034	0.079	-0.121	-0.022	0.07	-0.016	-0.108	0.058	0.011	-0.048	-0.131	-0.129	-0.014	0.026	-0.03	0.012	0.026	0.055	-0.01	0.111	-0.043	0.028	0.029	-0.062	0.168	0.334	0.149	-0.172	0.027	-0.016	0.016	-0.005	-0.06	-0.01	-0.162	-0.535	0.451	0.051	-0.091	0.045	-0.029	-0.023
dome_k4me1_down_3	0.143	0.018	-0.291	-0.086	-0.038	0.109	-0.123	0.033	-0.025	-0.013	0.009	-0.012	-0.003	0.007	-0.064	0.049	0.003	-0.049	-0.062	0.036	0.091	-0.036	0.019	0.018	0.048	0.019	-0.082	-0.002	-0.097	-0.005	0.139	0.063	-0.006	-0.062	-0.128	-0.101	-0.045	0.021	-0.03	0.013	0.031	0.033	-0.002	0.085	-0.031	0.025	0.026	-0.051	0.115	0.278	-0.197	0.033	-0.099	0.117	0.118	-0.015	0.009	0.042	0.019	0.157	-0.373	0.298	0.562	0.004	-0.064	-0.004
dome_k4me2_up_1	0.105	-0.204	-0.012	0.206	0.069	-0.035	0.103	-0.081	0.017	0.034	-0.03	0.025	0.004	-0.085	-0.007	0.107	0.316	0.301	0.196	0.023	0.013	-0.078	0.046	-0.005	0.023	0.033	-0.012	0.228	0.024	-0.019	0.008	0.169	-0.037	-0.053	-0.145	-0.075	-0.007	-0.212	-0.525	-0.392	0.007	0.031	-0.026	-0.034	0.031	0.055	-0.015	0.061	0.046	-0.044	0.009	0.001	-0.113	-0.064	0	-0.039	0.002	-0.006	0.007	0.003	0.016	0.002	0.013	-0.003	0.005	-0.014
