PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
dome_k4me1_up	0.207	0.075	-0.322	0.047	-0.158	0.099	-0.066	0.068	0.022	-0.218	0.09	0.079	0.077	0.014	-0.11	-0.091	-0.082	-0.111	0.236	0.178	-0.146	-0.001	-0.07	-0.434	0.539	0.073	-0.083	-0.171	-0.227	0.094
dome_k4me1_center	0.172	0.207	-0.388	0.006	0.051	0.227	0.086	0.052	-0.016	-0.34	0.096	-0.047	0.201	0.07	-0.024	-0.11	-0.006	0.034	0.004	-0.038	-0.299	0.076	0.14	0.313	-0.41	0.163	0.098	-0.284	0.123	0.111
dome_k4me1_down	0.2	0.051	-0.403	0.003	0.072	0.083	-0.105	-0.035	-0.029	-0.285	-0.016	-0.106	0.068	0.104	-0.046	0.02	-0.005	0.022	-0.157	-0.087	0.244	-0.018	-0.005	0.006	0.004	-0.227	-0.07	0.636	-0.009	-0.324
dome_k4me2_up	0.167	-0.317	-0.165	0	-0.226	0.117	0.07	-0.11	0.139	0.219	0.136	0.149	-0.029	-0.257	-0.07	-0.063	-0.144	-0.255	0.389	-0.558	0.072	-0.045	0.004	0.099	-0.096	-0.04	0.008	0.05	0.01	0.011
dome_k4me2_center	0.143	-0.303	-0.258	-0.046	0.068	0.228	0.257	-0.22	0.16	0.385	0.05	0.005	0.05	-0.148	0.168	0.062	0.276	0.26	-0.121	0.296	-0.194	0.343	0.014	-0.052	0.043	-0.058	-0.003	0.078	-0.016	-0.017
dome_k4me2_down	0.173	-0.378	-0.234	-0.041	0.119	0.028	-0.036	-0.156	0.042	0.069	-0.094	-0.108	-0.011	0.196	-0.011	0.107	0.008	-0.019	-0.218	0.112	0.271	-0.623	-0.066	-0.005	0.001	0.18	0.005	-0.261	0.113	0.114
dome_k4me3_up	0.182	-0.145	0.201	-0.066	-0.305	-0.037	0.19	-0.065	0.032	-0.309	0.06	0.063	-0.076	-0.193	-0.048	0.014	-0.059	0.005	-0.676	-0.281	-0.212	0.029	-0.064	-0.047	0.144	0.004	0.017	-0.055	-0.009	0.013
dome_k4me3_center	0.149	-0.199	0.234	-0.102	0.028	-0.01	0.523	-0.039	-0.058	-0.461	-0.109	0.031	-0.006	-0.024	-0.002	-0.066	0.116	0.17	0.321	0.107	0.424	0.122	0.043	-0.06	-0.046	0.038	0.013	-0.034	0.019	0.04
dome_k4me3_down	0.179	-0.34	0.193	-0.045	0.092	-0.174	0.061	-0.011	-0.026	-0.127	-0.17	0.005	-0.054	0.227	-0.098	0.002	-0.005	-0.218	0.229	0.192	-0.621	-0.181	-0.015	0.136	-0.032	-0.134	-0.05	0.227	0.023	-0.114
dome_k9ac_up	0.228	-0.011	0.043	0.052	-0.205	-0.075	-0.042	0.146	-0.01	0.155	0.046	0.1	-0.048	-0.039	-0.205	-0.161	-0.128	0.092	-0.064	0.269	0.167	-0.013	0.503	0.531	0.287	0.035	0.015	0.009	-0.11	-0.064
dome_k9ac_center	0.203	0.053	0.042	0.012	0.139	-0.037	0.169	0.213	-0.099	0.287	-0.023	-0.009	0.048	0.144	-0.31	-0.408	-0.27	0.463	-0.039	-0.157	-0.07	-0.062	-0.168	-0.198	-0.093	-0.046	-0.247	0.035	0.123	0.054
dome_k9ac_down	0.235	-0.119	-0.001	0.015	0.15	-0.162	-0.12	0.049	-0.084	0.1	-0.1	-0.081	-0.049	0.136	-0.159	-0.048	-0.024	-0.006	-0.037	-0.102	0.042	0.234	-0.051	-0.152	-0.1	0.141	0.707	-0.096	-0.323	-0.212
dome_k27ac_up	0.229	0.118	0.068	0.029	-0.24	-0.061	-0.064	0.139	-0.014	0.085	0.152	0.041	0.023	-0.116	-0.125	-0.024	0.243	-0.157	0.018	0.198	0.042	-0.056	0.074	-0.281	-0.081	-0.089	0.258	0.029	0.69	-0.104
dome_k27ac_center	0.198	0.239	0.095	-0.03	0.099	0.005	0.212	0.185	-0.11	0.146	0.143	-0.078	0.125	-0.109	-0.045	-0.024	0.578	-0.161	-0.009	-0.131	-0.001	-0.255	-0.138	0.107	0.025	-0.004	-0.178	-0.135	-0.312	-0.306
dome_k27ac_down	0.239	0.005	0.03	-0.007	0.127	-0.157	-0.138	0.041	-0.099	0.039	0	-0.118	0.012	0.036	-0.129	0.041	0.314	-0.152	-0.051	-0.118	0.049	0.172	0.042	0.036	0.03	0.117	-0.062	0.286	-0.036	0.749
dome_h4k16ac_up	0.225	0.008	0.134	-0.057	-0.253	-0.026	-0.059	0.026	0.04	0.053	0.235	-0.053	0.089	-0.008	0.063	0.178	-0.222	-0.071	-0.046	0.276	0.076	-0.061	0.15	-0.271	-0.541	-0.179	-0.172	0.009	-0.391	0.087
