name	PC1	PC2	PC3	group
atac_L00305	3.331	-0.226	-2.244	highk4_prom
atac_L00314	6.197	1.443	-4.029	highk4_prom
atac_L00320	6.773	2.525	-1.795	highk4_prom
atac_L00329	1.72	0.392	-3.501	highk4_prom
atac_P00086	10.989	-1.47	-2.432	highk4_prom
atac_L00334	11.683	3.579	-1.514	highk4_prom
atac_L00335	6.245	1.217	-0.944	highk4_prom
atac_L00339	6.369	2.847	-3.595	highk4_prom
atac_L00344	10.163	2.655	-1.808	highk4_prom
atac_L00345	16.126	4.757	3.13	highk4_prom
atac_L00371	2.505	3.738	-3.603	highk4_prom
atac_L00380	4.078	0.032	-1.047	highk4_prom
atac_L00385	7.12	1.697	-2.626	highk4_prom
atac_L00391	10.098	2.612	0.736	highk4_prom
atac_L00402	7.44	-0.552	-1.302	highk4_prom
atac_L00412	1.299	2.59	-2.666	highk4_prom
atac_L00421	5.247	1.501	-3.523	highk4_prom
atac_L00426	0.558	2.954	0.216	highk4_prom
atac_L00088	10.605	1.993	-0.68	highk4_prom
atac_L00435	3.667	-1.065	-1.557	highk4_prom
atac_L00437	8.755	1.223	0.96	highk4_prom
atac_P00123	5.001	3.931	-3.281	highk4_prom
atac_L00445	4.285	2.993	-2.217	highk4_prom
atac_L00447	3.582	3.104	-3.403	highk4_prom
atac_L00449	3.453	1.014	0.338	highk4_prom
atac_L00454	1.679	0.384	-3.258	highk4_prom
atac_L00458	3.91	3.725	-1.85	highk4_prom
atac_L00003	3.886	0.347	-1.725	highk4_prom
atac_L00462	2.888	2.471	-3.366	highk4_prom
atac_L00094	8.598	3.682	-1.543	highk4_prom
atac_L00466	10.867	4.549	1.728	highk4_prom
atac_L00471	8.101	1.761	-5.624	highk4_prom
atac_L00478	6.205	5.212	-0.441	highk4_prom
atac_L00479	7.097	4.995	0.225	highk4_prom
atac_L00495	5.943	-1.143	-0.142	highk4_prom
atac_L00501	8.119	5.938	-0.173	highk4_prom
atac_L00513	7.221	-0.915	-3.207	highk4_prom
atac_L00514	5.86	-1.576	-3.223	highk4_prom
atac_L00517	4.824	1.242	-4.375	highk4_prom
atac_L00518	3.917	2.972	-3.315	highk4_prom
atac_L00521	5.04	6.303	1.652	highk4_prom
atac_L00019	4.366	2.496	-1.467	highk4_prom
atac_L00528	6.961	1.796	-2.557	highk4_prom
atac_L00535	3.75	2.75	-2.958	highk4_prom
atac_L00550	1.651	4.642	-2.586	highk4_prom
atac_P00141	1.523	0.487	-4.65	highk4_prom
atac_L00555	12.994	5.731	0.574	highk4_prom
atac_P00143	10.648	4.758	-2.272	highk4_prom
atac_L00560	11.315	6.316	3.357	highk4_prom
atac_L00561	3.842	2.918	-0.277	highk4_prom
atac_L00565	3.69	-0.831	-5.634	highk4_prom
atac_L00567	5.201	3.247	-1.756	highk4_prom
atac_L00585	2.488	1.549	-2.876	highk4_prom
atac_L00586	12.949	6.825	2.648	highk4_prom
atac_L00588	-2.47	1.524	-2.531	highk4_prom
atac_L00589	9.843	2.304	0.124	highk4_prom
atac_L00603	5.98	1.417	-1.115	highk4_prom
atac_L00607	7.434	1.749	-1.92	highk4_prom
atac_P00163	12.207	-0.033	-2.471	highk4_prom
atac_L00615	8.209	1.947	-0.128	highk4_prom
atac_L00617	12.335	-0.487	-2.185	highk4_prom
atac_P00166	11.306	2.453	1.134	highk4_prom
atac_P00167	8.835	3.028	-0.442	highk4_prom
atac_P00170	7.06	1.75	1.154	highk4_prom
atac_L00627	12.129	6	-0.949	highk4_prom
atac_P00172	10.775	-0.557	-2.95	highk4_prom
atac_P00173	12.936	0.388	-0.007	highk4_prom
atac_L00640	0.145	2.928	-1.307	highk4_prom
atac_L00658	7.811	5.031	0.84	highk4_prom
atac_L00669	12.117	1.157	-1.359	highk4_prom
atac_P00182	3.481	0.944	-4.331	highk4_prom
atac_L00698	4.173	1.184	-4.005	highk4_prom
atac_L00701	12.703	1.843	-5.538	highk4_prom
atac_L00713	6.039	1.007	-2.702	highk4_prom
atac_P00185	6.596	4.106	-0.332	highk4_prom
atac_L00724	7.661	2.758	-0.621	highk4_prom
atac_L00738	2.1	-1.041	-4.73	highk4_prom
atac_L00743	8.095	1.393	-3.716	highk4_prom
atac_L00746	14.519	3.704	2.501	highk4_prom
atac_L00765	6.87	2.284	-3.249	highk4_prom
atac_L00767	2.954	0.151	-3.397	highk4_prom
atac_L00770	2.326	3.101	-3.151	highk4_prom
atac_L00776	5.826	2.138	-1.015	highk4_prom
atac_L00782	8.123	1.502	-1.312	highk4_prom
atac_L00783	2.897	-0.304	-2.141	highk4_prom
atac_L00788	9.111	3.867	-0.959	highk4_prom
atac_L00792	9.026	4.676	-2.134	highk4_prom
atac_P00207	14.027	4.436	4.226	highk4_prom
atac_L00805	12.445	1.245	-0.652	highk4_prom
atac_L00823	6.468	3.035	-3.325	highk4_prom
atac_P00219	13.117	3.64	-0.838	highk4_prom
atac_L00847	9.057	4.36	0.854	highk4_prom
atac_L00855	9.681	-1.252	-2.029	highk4_prom
atac_L00868	6.041	3.745	-1.843	highk4_prom
atac_L00870	9.45	-0.811	-4.104	highk4_prom
atac_L00875	2.615	0.461	-3.288	highk4_prom
