PC1	PC2	PC3	stage	group
atac_L28307_X1k	-0.826	0.707	-1.521	X1k	k4me1_enh
atac_L28471_X1k	0.263	1.56	-0.663	X1k	k4me1_enh
atac_L28516_X1k	1.015	-0.238	-0.941	X1k	k4me1_enh
atac_L28517_X1k	-0.192	-0.585	-1.91	X1k	k4me1_enh
atac_L28531_X1k	0.804	0.388	-0.767	X1k	k4me1_enh
atac_L28592_X1k	1.218	-1.191	0.156	X1k	k4me1_enh
atac_L28630_X1k	1.967	-0.066	0.614	X1k	k4me1_enh
atac_L28643_X1k	1.881	0.31	0.212	X1k	k4me1_enh
atac_L28663_X1k	1.874	0.793	0.697	X1k	k4me1_enh
atac_L28677_X1k	2.192	-0.125	1.422	X1k	k4me1_enh
atac_L28693_X1k	1.83	-0.208	0.164	X1k	k4me1_enh
atac_L28757_X1k	1.484	-0.63	0.393	X1k	k4me1_enh
atac_L28758_X1k	0.449	-0.965	-0.868	X1k	k4me1_enh
atac_L28763_X1k	0.579	0.307	0.015	X1k	k4me1_enh
atac_L28788_X1k	1.046	0.614	-0.817	X1k	k4me1_enh
atac_L28839_X1k	-0.964	0.796	-1.011	X1k	k4me1_enh
atac_L28850_X1k	-0.524	-0.122	1.105	X1k	k4me1_enh
atac_L28891_X1k	0.764	-1.453	-0.018	X1k	k4me1_enh
atac_L28895_X1k	-0.102	1.615	1.422	X1k	k4me1_enh
atac_L28936_X1k	0.154	-0.2	-1.821	X1k	k4me1_enh
atac_L28946_X1k	0.129	1.067	-0.658	X1k	k4me1_enh
atac_L28979_X1k	2.284	0.177	0.998	X1k	k4me1_enh
atac_L28982_X1k	1.731	0.453	0.004	X1k	k4me1_enh
atac_L28984_X1k	1.209	0.625	0.301	X1k	k4me1_enh
atac_L28991_X1k	1.873	0.275	0.012	X1k	k4me1_enh
atac_L29028_X1k	-0.335	3.322	-1.431	X1k	k4me1_enh
atac_L29036_X1k	-0.706	1.48	0.237	X1k	k4me1_enh
atac_L29056_X1k	1.202	-0.588	0.153	X1k	k4me1_enh
atac_L29077_X1k	0.431	0.848	-0.154	X1k	k4me1_enh
atac_L29078_X1k	-0.447	0.032	-0.714	X1k	k4me1_enh
atac_L29080_X1k	1.906	-1.263	-0.918	X1k	k4me1_enh
atac_L29081_X1k	-0.217	1.005	0.472	X1k	k4me1_enh
atac_L29100_X1k	0.805	-0.105	0.028	X1k	k4me1_enh
