Gene_ID	RPM_R1_TP1	RPM_R1_TP2	RPM_R1_TP3	RPM_R1_TP4	RPM_R1_TP5	RPM_R1_TP6	RPM_R1_TP7	RPM_R1_TP8	RPM_R1_TP9	RPM_R2_TP1	RPM_R2_TP2	RPM_R2_TP3	RPM_R2_TP4	RPM_R2_TP5	RPM_R2_TP6	RPM_R2_TP7	RPM_R2_TP8	RPM_R2_TP9	classification	sub_classification
sept10	14.0560386	15.5673608	12.8581759	11.142896	13.9382535	11.2332204	10.9343461	12.0720252	7.39599292	10.405008	7.46669515	8.44268263	13.5009759	7.12864822	13.2914354	22.2175985	14.7324312	12.7819253	M	M_stable
aaas	7.02801931	8.33965757	7.66545103	8.05717094	11.2632352	13.7294916	9.05988679	6.03601258	8.50539186	9.97593547	7.91922212	9.18762521	11.3408197	10.6929723	10.0583835	7.40586615	7.96347631	9.586444	M	M_stable
aacs	11.9476328	20.0151782	24.3563525	20.2286419	23.6527939	18.722034	18.7445934	28.742917	11.0939894	20.917284	10.181857	10.4291962	31.862303	14.9701613	29.6363086	17.6330146	15.5287788	20.1315324	M	M_stable
aass	7.02801931	7.22770323	9.76726825	13.3714752	5.63161759	3.12033899	6.56060767	10.9223085	5.91679434	12.6576386	6.56164119	8.69099682	8.10058551	6.77221581	10.0583835	4.9372441	9.15799776	14.6992141	M	M_stable
abca12	7.02801931	5.00379454	6.42908796	4.80001673	4.36450363	2.49627119	5.9357879	4.31143755	8.87519151	5.36340617	12.4444919	7.44942585	4.32031227	9.26724269	7.72340164	10.5798088	7.96347631	5.11277013	M	M_stable
abca3b	69.5773911	57.8216258	73.4399664	63.0859342	58.9911943	62.4067799	36.551957	53.4618257	28.4745728	50.6305542	48.1941232	51.4010384	43.7431618	40.9897273	57.2968633	43.0245557	53.7534651	36.7480353	M	M_stable
abca5	146.182802	199.039827	191.636276	147.771944	233.148968	76.1362714	81.2265712	135.379139	35.8705657	146.742793	174.44915	84.1785121	163.631827	74.8508063	168.657538	291.297402	243.682375	144.116208	M	M_stable
abcb10	11.2448309	10.5635663	16.0727199	11.8286127	12.5303491	10.6091526	12.4963956	12.3594543	2.95839717	15.5538779	6.10911421	11.422453	11.8808587	5.70291858	12.5729794	6.34788527	9.15799776	10.8646365	M	M_stable
abcb7	83.6334298	59.4895574	81.4763263	55.8859091	51.1069296	54.2938985	43.7373845	65.2464217	39.1987625	66.3989683	72.1780531	73.7493159	52.3837863	42.7718893	75.9767184	59.5995895	77.2457202	55.9209233	M	M_stable
abcc10	11.9476328	12.7874749	13.5999938	9.42860429	9.99612122	3.74440679	4.99855823	15.233746	6.65639363	14.9102691	8.3717491	3.72471292	8.64062454	3.56432411	13.8302774	16.5750338	22.2977337	18.5337917	M	M_stable
abcg2c	2.10840579	11.1195434	15.9490836	12.3429002	16.331691	8.11288138	7.49783734	10.3474501	5.17719505	9.22505861	4.2990063	12.9123381	16.201171	12.8315668	14.0098913	13.7537514	14.3342574	13.4210216	M	M_stable
abhd12	12.6504348	15.0113836	17.9272645	16.8000586	10.2777021	9.36101698	10.9343461	14.0840293	5.54699469	16.0902185	8.14548561	12.6640239	12.4208978	14.2572964	12.3933654	17.6330146	11.5470407	12.7819253	M	M_stable
abhd17aa	60.440966	93.4041648	83.5781435	70.8002468	111.9284	48.0532205	63.7316174	83.9293177	35.1309664	62.9663884	42.990063	46.1864403	89.1064406	50.9698348	54.2434255	92.749657	70.8749392	42.8194499	M	M_stable
abi1a	4.21681158	5.00379454	10.5090861	10.114321	5.49082715	3.74440679	3.74891867	7.7605876	2.21879788	7.07969614	7.46669515	7.94605424	2.70019517	3.56432411	10.7768395	7.05320586	8.36165013	5.7518664	M	M_stable
abi2a	9.1364251	13.3434521	13.3527212	11.6571835	12.3895587	14.3535594	6.87301756	23.569192	6.28659399	12.5503704	5.43032374	11.1741388	16.7412101	12.118702	17.7817852	18.3383352	19.510517	10.5450884	M	M_stable
acaca	14.7588405	27.2428814	25.8399882	25.5429462	25.7646505	13.1054238	8.43506701	23.569192	5.91679434	16.6265591	7.01416817	16.6370511	17.2812491	13.5444316	34.1266584	22.2175985	28.6685147	8.30825147	M	M_stable
acad11	3.51400965	3.8918402	5.81090643	6.51430842	3.51976099	1.2481356	1.24963956	5.46115424	3.69799646	4.07618869	2.0363714	3.97302712	3.2402342	5.34648616	7.18455966	4.9372441	8.36165013	5.7518664	M	M_stable
acap3b	13.3532367	15.0113836	11.3745402	15.257196	10.8408639	17.4738984	7.49783734	16.958321	11.0939894	23.2771828	11.3131745	23.3415343	16.201171	12.118702	27.3013267	29.6234646	31.0575576	21.4097249	M	M_stable
acox3	5.62241545	7.22770323	11.7454492	10.8000376	7.60268375	3.74440679	7.18542745	10.9223085	6.28659399	11.2631529	7.24043166	9.9325678	5.94042937	9.26724269	14.7283473	7.75852644	10.3525192	15.6578585	M	M_stable
acsf2	49.1961352	35.0265618	42.5308896	53.1430424	31.5370585	19.3461018	22.1811021	52.0246798	20.7087802	35.7202851	34.1657869	42.9583557	22.6816394	22.4552419	48.4957777	51.8410631	70.4767654	54.9622789	M	M_stable
acsl1b	7.73082124	8.33965757	11.7454492	12.171471	10.559283	7.48881358	9.37229668	11.784596	9.98459045	11.2631529	9.72933004	21.3550208	15.661132	10.3365399	16.1652592	11.6377897	13.9360835	8.94734773	M	M_stable
acsl5	9.83922703	5.00379454	5.56363381	8.22860011	4.92766539	7.48881358	5.31096812	7.7605876	5.54699469	9.43959485	3.62021583	13.9055949	4.32031227	4.63362134	6.10687571	7.40586615	7.5653025	5.11277013	M	M_stable
acss2	8.43362317	15.5673608	17.8036282	16.4572002	13.9382535	4.36847459	9.99711646	23.2817628	5.54699469	22.5263059	21.721295	13.4089665	17.2812491	12.8315668	20.835223	23.9808999	22.2977337	22.0488212	M	M_stable
actn4	191.162125	246.853864	193.119912	171.429169	265.953141	131.678306	156.517355	233.967345	101.325103	177.74328	112.452954	175.309822	207.374989	163.958909	187.696621	290.944742	238.506116	169.360511	M	M_stable
actr10	55.5213525	74.500941	95.5708653	114.343256	134.877241	71.7677969	69.0425855	104.911647	57.6887448	84.2054768	59.5072977	85.6683973	96.1269481	83.4051842	95.5546435	106.856069	109.895973	88.5148329	M	M_stable
actr2b	7.02801931	18.9032238	19.2872639	14.7429085	20.5554042	8.11288138	13.1212153	18.6828961	8.13559222	11.9067617	4.07274281	7.94605424	17.2812491	13.1879992	13.2914354	16.2223735	13.1397359	13.4210216	M	M_stable
ACVR1C	3.51400965	3.33586303	5.81090643	5.31430424	3.51976099	6.24067799	3.12409889	5.17372506	5.91679434	4.82706555	3.84647932	5.46291229	4.86035131	4.63362134	6.82533168	4.23192352	7.5653025	4.793222	M	M_stable
adamts12	2.81120772	6.67172606	9.64363195	6.68573759	7.03952199	1.8722034	2.49927911	7.18572926	0.73959929	3.11077558	2.48889838	4.46965551	4.32031227	2.85145929	6.4661037	5.64256469	9.15799776	3.8345776	M	M_stable
adcy6a	19.6784541	10.5635663	17.8036282	12.0000418	18.7251285	12.481356	15.6204945	18.9703252	11.463789	18.9864578	26.9253552	20.6100782	23.2216785	25.3067012	21.014837	25.3915411	29.8630362	16.9360511	M	M_stable
