Ensembl Gene ID,Gene name,FPKM 512-cell,FPKM 256-cell, FPKM 128-cell,fold-change,lfc_512_128,lfc_256_128,512_4fold,256_4fold,256_2fold
ENSDARG00000086235,dre-mir-430c-5,213786.45,159803.05,4502.35,5.57,5.57,5.15,1,1,1
ENSDARG00000090259,dre-mir-430c-5,213786.45,159803.05,4502.35,5.57,5.57,5.15,1,1,1
ENSDARG00000086482,dre-mir-430b-1,128984.21,71908.46,2137.12,5.91,5.91,5.07,1,1,1
ENSDARG00000088550,dre-mir-430b-1,128984.21,71908.46,2137.12,5.91,5.91,5.07,1,1,1
ENSDARG00000091855,dre-mir-430b-1,128984.21,71908.46,2137.12,5.91,5.91,5.07,1,1,1
ENSDARG00000089163,dre-mir-430a-11,104288.44,54959.15,2269.5,5.52,5.52,4.60,1,1,1
ENSDARG00000089488,dre-mir-430a-11,104288.44,54959.15,2269.5,5.52,5.52,4.60,1,1,1
ENSDARG00000090281,dre-mir-430a-11,104288.44,54959.15,2269.5,5.52,5.52,4.60,1,1,1
ENSDARG00000091048,dre-mir-430a-11,104211.64,54935.38,2269.5,5.52,5.52,4.60,1,1,1
ENSDARG00000090357,dre-mir-430a-11,104191.99,54935.38,2269.5,5.52,5.52,4.60,1,1,1
ENSDARG00000087942,dre-mir-430i-3,80474.7,39190.09,1420.11,5.82,5.82,4.79,1,1,1
ENSDARG00000090085,dre-mir-430i-3,80474.7,39190.09,1420.11,5.82,5.82,4.79,1,1,1
ENSDARG00000086968,dre-mir-430i-3,80338.29,39238.76,1420.11,5.82,5.82,4.79,1,1,1
ENSDARG00000089867,dre-mir-430i-3,80338.29,39238.76,1420.11,5.82,5.82,4.79,1,1,1
ENSDARG00000089555,dre-mir-430i-3,80321.23,39190.09,1420.11,5.82,5.82,4.79,1,1,1
ENSDARG00000088093,dre-mir-430b-23,57846.11,28803.91,1073.73,5.75,5.75,4.74,1,1,1
ENSDARG00000091115,dre-mir-430b-23,57846.11,28803.91,1073.73,5.75,5.75,4.74,1,1,1
ENSDARG00000086436,dre-mir-430b-9,46346.43,20417.95,910.73,5.67,5.67,4.49,1,1,1
ENSDARG00000088395,dre-mir-430b-9,46346.43,20417.95,910.73,5.67,5.67,4.49,1,1,1
ENSDARG00000089613,dre-mir-430b-9,46346.43,20417.95,910.73,5.67,5.67,4.49,1,1,1
ENSDARG00000087609,dre-mir-430b-21,42182.72,20294.49,902,5.55,5.55,4.49,1,1,1
ENSDARG00000091664,dre-mir-430b-21,42182.72,20294.49,902,5.55,5.55,4.49,1,1,1
ENSDARG00000086582,dre-mir-430c-21,37460.54,24217.14,870,5.43,5.43,4.80,1,1,1
ENSDARG00000087024,dre-mir-430c-21,37460.54,24217.14,870,5.43,5.43,4.80,1,1,1
ENSDARG00000087570,dre-mir-430c-21,37460.54,24217.14,870,5.43,5.43,4.80,1,1,1
ENSDARG00000089653,dre-mir-430c-21,37460.54,24217.14,870,5.43,5.43,4.80,1,1,1
ENSDARG00000091145,dre-mir-430c-21,37460.54,24217.14,870,5.43,5.43,4.80,1,1,1
ENSDARG00000087527,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000088477,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000089154,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000089755,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000089982,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000090283,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000090393,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000091312,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000091501,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000091761,dre-mir-430c-21,37419.48,24219.6,870,5.43,5.43,4.80,1,1,1
ENSDARG00000087500,dre-mir-430c-21,37402.3,24204.8,870,5.42,5.42,4.80,1,1,1
ENSDARG00000086779,dre-mir-430a-19,36678.9,23075.46,859.08,5.41,5.41,4.75,1,1,1
ENSDARG00000089301,dre-mir-430a-19,36678.9,23075.46,859.08,5.41,5.41,4.75,1,1,1
ENSDARG00000086081,dre-mir-430j,33252.37,16282.04,1025.61,5.02,5.02,3.99,1,1,1
ENSDARG00000087964,dre-mir-430j,33252.37,16282.04,1025.61,5.02,5.02,3.99,1,1,1
ENSDARG00000088076,dre-mir-430j,33252.37,16282.04,1025.61,5.02,5.02,3.99,1,1,1
ENSDARG00000090397,dre-mir-430j,33252.37,16282.04,1025.61,5.02,5.02,3.99,1,1,1
ENSDARG00000090983,dre-mir-430j,33252.37,16282.04,1025.61,5.02,5.02,3.99,1,1,1
ENSDARG00000091423,dre-mir-430j,33229.86,16282.04,1025.61,5.02,5.02,3.99,1,1,1
