gene,gene_name,WT_4h_Click-iT,MZnps_4h_Click-iT,category
ENSDARG00000117206,RF00003,255.0542731,383.950513,Unaffected
ENSDARG00000117185,si:ch211-255f4.11,1668.407743,837.9897631,Unaffected
ENSDARG00000117166,RF00003,619.7976307,372.3955973,Unaffected
ENSDARG00000117156,si:dkey-7j22.4,343.3300588,504.3355263,Unaffected
ENSDARG00000117132,BX663613.1,299.2994319,176.1058984,Unaffected
ENSDARG00000117096,znf1138,1632.083273,75.79452073,Strongly Down
ENSDARG00000117085,RF00156,840.0142466,143.8340638,Mildly Down
ENSDARG00000117062,RF00003,662.0880883,2078.853084,Upregulated
ENSDARG00000117035,RF00004,1151.956059,809.8008405,Unaffected
ENSDARG00000117022,RF00003,367.9608624,408.1269944,Unaffected
ENSDARG00000117016,RF00211,1805.806028,907.0006848,Unaffected
ENSDARG00000116910,RF00003,206.0315602,147.422632,Unaffected
ENSDARG00000116853,RF00015,1167.508813,1883.827179,Unaffected
ENSDARG00000116825,RF00001,612.2248355,164.7330304,Mildly Down
ENSDARG00000116745,RF00091,1369.190955,542.9229451,Mildly Down
ENSDARG00000116679,RF00003,935.9360509,1366.670678,Unaffected
ENSDARG00000116673,CR354435.6,744.2109689,1518.539025,Upregulated
ENSDARG00000116625,znf1141,580.1445459,275.2847469,Mildly Down
ENSDARG00000116617,spaca4l,750.360184,8.732223882,Strongly Down
ENSDARG00000116616,RF00003,2278.137732,247.6441584,Strongly Down
ENSDARG00000116570,FO834825.3,20640.86328,228.4941937,Strongly Down
ENSDARG00000116510,BX539310.1,200.1259436,582.0147208,Upregulated
ENSDARG00000116491,h2afvb,2068.326871,788.4449217,Mildly Down
ENSDARG00000116355,CT955962.2,485.4527844,38.32965326,Strongly Down
ENSDARG00000116291,RF00015,1499.53052,2218.936296,Unaffected
ENSDARG00000116226,CT583728.25,30790.99932,29279.52458,Unaffected
ENSDARG00000116216,znf1046,396.2733861,75.47681084,Mildly Down
ENSDARG00000116211,si:dkey-5i16.5,506.5864222,81.18473434,Mildly Down
ENSDARG00000116199,BX005372.1,824.550305,149.4090275,Mildly Down
ENSDARG00000116181,znf1119,197.5735922,69.93288444,Mildly Down
ENSDARG00000116117,si:dkey-40n15.1,294.1042066,180.9905733,Unaffected
ENSDARG00000116114,RF00003,309.0473403,914.7185073,Upregulated
ENSDARG00000116034,RF00003,277.2308722,1123.631915,Upregulated
ENSDARG00000116023,CR318589.2,357.2993108,77.8683181,Mildly Down
ENSDARG00000115989,BX323887.1,332.0410296,341.1285761,Unaffected
