name	group	GC_prop	CpG_prop
atac_L39944	k4me1_enh	0.538	0.064
atac_L33050	k4me1_enh	0.358	0.006
atac_L14890	k4me1_enh	0.432	0.01
atac_L32430	k4me1_enh	0.396	0.018
atac_L01732	k4me1_enh	0.39	0.008
atac_L03012	k4me1_enh	0.448	0.034
atac_L07472	k4me1_enh	0.346	0.012
atac_L01607	k4me1_enh	0.406	0.028
atac_L07989	k4me1_enh	0.438	0.034
atac_P01497	k4me1_enh	0.394	0.022
atac_L32454	k4me1_enh	0.382	0.01
atac_L07267	k4me1_enh	0.39	0.018
atac_L25159	k4me1_enh	0.396	0.018
atac_L26456	k4me1_enh	0.436	0.022
atac_L27722	k4me1_enh	0.444	0.018
atac_L31489	k4me1_enh	0.392	0.01
atac_L02495	k4me1_enh	0.382	0.012
atac_L23277	k4me1_enh	0.47	0.022
atac_L07961	k4me1_enh	0.484	0.018
atac_L00901	k4me1_enh	0.41	0.02
atac_L40459	k4me1_enh	0.396	0.018
atac_L39993	k4me1_enh	0.406	0.016
atac_P03959	k4me1_enh	0.412	0.022
atac_L40460	k4me1_enh	0.412	0.014
atac_L04797	k4me1_enh	0.428	0.02
atac_L04795	k4me1_enh	0.432	0.026
atac_L17464	k4me1_enh	0.414	0.036
atac_L32440	k4me1_enh	0.38	0.014
atac_L04798	k4me1_enh	0.346	0.006
atac_P06719	k4me1_enh	0.492	0.03
atac_L23165	k4me1_enh	0.418	0.012
atac_L01744	k4me1_enh	0.378	0.01
atac_L16646	k4me1_enh	0.418	0.008
atac_L17284	k4me1_enh	0.354	0.012
atac_L21937	k4me1_enh	0.53	0.018
atac_L30966	k4me1_enh	0.39	0.018
atac_L31206	k4me1_enh	0.428	0.014
atac_L34174	k4me1_enh	0.388	0.024
atac_L32452	k4me1_enh	0.452	0.042
atac_L25756	k4me1_enh	0.448	0.022
atac_L04794	k4me1_enh	0.408	0.014
atac_L14061	k4me1_enh	0.418	0.022
atac_L08903	k4me1_enh	0.432	0.018
atac_L39864	k4me1_enh	0.436	0.024
atac_L03600	k4me1_enh	0.47	0.012
atac_L24658	k4me1_enh	0.438	0.016
atac_L07087	k4me1_enh	0.392	0.024
atac_L38039	k4me1_enh	0.426	0.038
atac_L06201	k4me1_enh	0.4	0.018
atac_L27454	k4me1_enh	0.464	0.024
atac_L37933	k4me1_enh	0.432	0.032
atac_L20292	k4me1_enh	0.502	0.026
atac_L33735	k4me1_enh	0.382	0.008
atac_L22476	k4me1_enh	0.452	0.032
atac_L15277	k4me1_enh	0.41	0.02
atac_L03246	k4me1_enh	0.496	0.018
atac_L20578	k4me1_enh	0.394	0.01
atac_L14119	k4me1_enh	0.498	0.026
atac_L38043	k4me1_enh	0.378	0.006
atac_L23036	k4me1_enh	0.368	0.006
atac_L40458	k4me1_enh	0.408	0.004
atac_L31486	k4me1_enh	0.326	0.006
atac_L14118	k4me1_enh	0.418	0.016
atac_L28846	k4me1_enh	0.482	0.032
atac_L03098	k4me1_enh	0.464	0.036
atac_L03017	k4me1_enh	0.46	0.03
atac_L01977	k4me1_enh	0.442	0.028
atac_L27455	k4me1_enh	0.468	0.028
atac_L10991	k4me1_enh	0.39	0.016
atac_L03266	k4me1_enh	0.412	0.032
atac_L32824	k4me1_enh	0.488	0.024
atac_L15022	k4me1_enh	0.312	0.002
atac_L31488	k4me1_enh	0.374	0.018
atac_P00567	k4me1_enh	0.452	0.028
atac_P01792	k4me1_enh	0.454	0.026
atac_L20400	k4me1_enh	0.526	0.01
atac_L12181	k4me1_enh	0.364	0.01
atac_L02973	k4me1_enh	0.418	0.014
atac_L03678	k4me1_enh	0.37	0.006
atac_L34191	k4me1_enh	0.416	0.024
atac_L29436	k4me1_enh	0.396	0.028
atac_L25801	k4me1_enh	0.404	0.004
atac_L07266	k4me1_enh	0.42	0.028
atac_L09808	k4me1_enh	0.444	0.012
atac_L01976	k4me1_enh	0.406	0.026
atac_P02716	k4me1_enh	0.436	0.016
atac_L35451	k4me1_enh	0.48	0.026
atac_L15024	k4me1_enh	0.432	0.016
atac_L07504	k4me1_enh	0.396	0.02
atac_L37649	k4me1_enh	0.412	0.01
atac_L02679	k4me1_enh	0.434	0.028
atac_L23170	k4me1_enh	0.442	0.02
atac_L16895	k4me1_enh	0.374	0.022
atac_L35685	k4me1_enh	0.402	0.018
atac_L07994	k4me1_enh	0.386	0.01
atac_L23109	k4me1_enh	0.508	0.03
atac_L38294	k4me1_enh	0.34	0.002
atac_L34969	k4me1_enh	0.426	0.02
atac_L07957	k4me1_enh	0.454	0.022
atac_P03836	k4me1_enh	0.484	0.016
atac_L10266	k4me1_enh	0.432	0.014
atac_L07960	k4me1_enh	0.482	0.024
atac_L39102	k4me1_enh	0.358	0.012
atac_L36248	k4me1_enh	0.478	0.022
atac_L29438	k4me1_enh	0.432	0.018
atac_L04796	k4me1_enh	0.438	0.01
atac_L03183	k4me1_enh	0.396	0.012
atac_P00131	k4me1_enh	0.426	0.018
atac_L36553	k4me1_enh	0.47	0.022
atac_L24166	k4me1_enh	0.376	0.012
atac_L34650	k4me1_enh	0.424	0.026
atac_L26082	k4me1_enh	0.46	0.042
atac_L24656	k4me1_enh	0.442	0.022
atac_L09202	k4me1_enh	0.406	0.01
atac_L26652	k4me1_enh	0.372	0.008
atac_L06046	k4me1_enh	0.456	0.018
atac_L37692	k4me1_enh	0.46	0.022
atac_L29605	k4me1_enh	0.396	0.016
atac_L30031	k4me1_enh	0.402	0.014
atac_L01974	k4me1_enh	0.402	0.008
atac_P05277	k4me1_enh	0.422	0.008
atac_L36739	k4me1_enh	0.356	0.014
atac_L25009	k4me1_enh	0.318	0.014
atac_L28517	k4me1_enh	0.414	0.012
atac_L29434	k4me1_enh	0.38	0.008
atac_L01240	k4me1_enh	0.406	0.016
atac_P02973	k4me1_enh	0.482	0.024
atac_L05984	k4me1_enh	0.5	0.024
atac_L33809	k4me1_enh	0.378	0.006
atac_L06199	k4me1_enh	0.454	0.014
atac_L07725	k4me1_enh	0.496	0.024
atac_L25753	k4me1_enh	0.4	0.01
atac_L11828	k4me1_enh	0.348	0.016
atac_L02678	k4me1_enh	0.446	0.018
atac_L00897	k4me1_enh	0.406	0.014
atac_L16158	k4me1_enh	0.466	0.046
atac_L33461	k4me1_enh	0.428	0.02
atac_L01816	k4me1_enh	0.474	0.02
atac_L35832	k4me1_enh	0.41	0.006
atac_L26651	k4me1_enh	0.38	0.012
atac_L29437	k4me1_enh	0.384	0.02
atac_L38040	k4me1_enh	0.396	0.006
atac_L20963	k4me1_enh	0.502	0.022
atac_L21829	k4me1_enh	0.52	0.034
atac_L27516	k4me1_enh	0.422	0.018
atac_L12289	k4me1_enh	0.42	0.012
atac_L17015	k4me1_enh	0.44	0.02
atac_L22124	k4me1_enh	0.456	0.02
atac_L35676	k4me1_enh	0.486	0.032
atac_L37694	k4me1_enh	0.452	0.028
atac_P04130	k4me1_enh	0.512	0.03
atac_P05276	k4me1_enh	0.348	0.01
atac_P01270	k4me1_enh	0.366	0.014
atac_L24929	k4me1_enh	0.386	0.01
atac_L09168	k4me1_enh	0.454	0.038
atac_L20647	k4me1_enh	0.386	0.012
atac_P02025	k4me1_enh	0.368	0.004
atac_L01046	k4me1_enh	0.322	0.01
atac_L14060	k4me1_enh	0.426	0.008
atac_L14372	k4me1_enh	0.474	0.032
atac_L05163	k4me1_enh	0.424	0.018
atac_L25419	k4me1_enh	0.414	0.022
atac_L12494	k4me1_enh	0.426	0.014
atac_L03247	k4me1_enh	0.524	0.014
atac_L12156	k4me1_enh	0.45	0.026
atac_L09661	k4me1_enh	0.372	0.01
atac_L37451	k4me1_enh	0.492	0.046
atac_L01053	k4me1_enh	0.45	0.034
atac_L35683	k4me1_enh	0.464	0.024
atac_L26999	k4me1_enh	0.476	0.034
atac_L07270	k4me1_enh	0.406	0.008
atac_L13073	k4me1_enh	0.394	0.026
atac_L26079	k4me1_enh	0.336	0.002
