Gene	nps_effect	dist_to_k4me1_enh_strict	dist_to_k4me2_enh_strict	dist_to_k4me1_enh_loose	dist_to_k4me2_enh_loose	within100kb_k4me1_enh	within100kb_k4me2_enh	within1Mb_k4me1_enh	within1Mb_k4me2_enh
ENSDARG00000058996	Down	120070	1656163	120070	49069	no	loose	strict	loose
ENSDARG00000078308	Down	4727	39110	4727	8084	strict	strict	strict	strict
ENSDARG00000089090	Down	310859	787678	310859	115806	no	no	strict	strict
ENSDARG00000037760	Down	5843	5684	5843	5684	strict	strict	strict	strict
ENSDARG00000104660	Down	23887	778423	23887	51559	strict	loose	strict	strict
ENSDARG00000096594	Down	2453	814286	2453	15696	strict	loose	strict	strict
ENSDARG00000077652	Down	10702	822535	422	7447	strict	loose	strict	strict
ENSDARG00000008637	Down	771002	39356	165185	39356	no	strict	strict	strict
ENSDARG00000109597	Down	810703	9084	2455	9084	loose	strict	strict	strict
ENSDARG00000079317	Down	8897	42339	1514	42339	strict	strict	strict	strict
ENSDARG00000094729	Down	7364	1147833	7364	2009	strict	loose	strict	loose
ENSDARG00000037429	Down	5703	2561	5703	2561	strict	strict	strict	strict
ENSDARG00000037178	Down	2621	923656	2621	13352	strict	loose	strict	strict
ENSDARG00000078810	Down	617935	2010125	260527	1020326	no	no	strict	no
ENSDARG00000109513	Down	340354	1275973	340354	202802	no	no	strict	loose
ENSDARG00000075798	Down	224839	499091	224839	14652	no	loose	strict	strict
ENSDARG00000036774	Down	205789	668483	205789	214608	no	no	strict	strict
ENSDARG00000095949	Down	29560	1380829	29560	656273	strict	no	strict	loose
ENSDARG00000076277	Down	25092	1385297	25092	660741	strict	no	strict	loose
ENSDARG00000075916	Down	12014	1398375	12014	673819	strict	no	strict	loose
ENSDARG00000099025	Down	43019	1453553	4849	728997	strict	no	strict	loose
ENSDARG00000094160	Down	281509	94009	107465	90263	no	strict	strict	strict
ENSDARG00000043271	Down	17306	2859	1757	2859	strict	strict	strict	strict
ENSDARG00000075564	Down	187688	984078	19739	170902	loose	no	strict	strict
ENSDARG00000030703	Down	22901	773326	2461	381654	strict	no	strict	strict
ENSDARG00000092358	Down	731688	1514161	349687	952624	no	no	strict	loose
ENSDARG00000058270	Down	622672	1623177	240671	843608	no	no	strict	loose
ENSDARG00000035095	Down	4992	4417407	4992	13084	strict	loose	strict	loose
ENSDARG00000010145	Down	1176492	3046730	180866	929789	no	no	loose	loose
ENSDARG00000102300	Down	598570	75209	598570	3006	no	strict	strict	strict
ENSDARG00000036670	Down	4370	670307	545	119	strict	loose	strict	strict
ENSDARG00000058226	Down	54875	1612986	46205	250023	strict	no	strict	loose
ENSDARG00000043757	Down	228274	1862468	228274	541	no	loose	strict	loose
ENSDARG00000028096	Down	237144	401064	135825	143328	no	no	strict	strict
ENSDARG00000061120	Down	243400	1483781	243400	205144	no	no	strict	loose
ENSDARG00000088927	Down	20355	2212	42	2212	strict	strict	strict	strict
ENSDARG00000030805	Down	29671	31104	29671	31104	strict	strict	strict	strict
ENSDARG00000035333	Down	287957	5448	287957	5448	no	strict	strict	strict
ENSDARG00000043211	Down	37054	1054515	7231	325084	strict	no	strict	loose
ENSDARG00000043154	Down	2996	1461707	2996	828986	strict	no	strict	loose
ENSDARG00000011190	Down	3288	176999	3288	176999	strict	no	strict	strict
ENSDARG00000103546	Down	25180	234563	6105	15847	strict	loose	strict	strict
