chr	start	end	name	category	strand	gene	1k_k4me1_1_center	1k_k4me1_2_center	1k_k4me1_3_center	1k_k4me1_4_center	1k_k4me2_1_center	1k_k4me3_1_center	1k_k9ac_1_center	1k_k9ac_2_center	1k_k27ac_1_center	1k_k27ac_2_center	1k_k56ac_1_center	1k_k64ac_1_center	1k_k64ac_2_center	1k_k122ac_1_center	1k_h4k16ac_1_center	1k_h4k16ac_2_center	1k_igg_1_center	1k_igg_2_center	shield_k4me1_1_center	shield_k4me1_2_center	shield_k4me2_1_center	shield_k4me2_2_center	shield_k4me3_1_center	shield_k4me3_2_center	shield_k4me3_3_center	shield_igg_1_center	shield_igg_2_center	1k_k4me1_1_left	1k_k4me1_2_left	1k_k4me1_3_left	1k_k4me1_4_left	1k_k4me2_1_left	1k_k4me3_1_left	1k_k9ac_1_left	1k_k9ac_2_left	1k_k27ac_1_left	1k_k27ac_2_left	1k_k56ac_1_left	1k_k64ac_1_left	1k_k64ac_2_left	1k_k122ac_1_left	1k_h4k16ac_1_left	1k_h4k16ac_2_left	1k_igg_1_left	1k_igg_2_left	shield_k4me1_1_left	shield_k4me1_2_left	shield_k4me2_1_left	shield_k4me2_2_left	shield_k4me3_1_left	shield_k4me3_2_left	shield_k4me3_3_left	shield_igg_1_left	shield_igg_2_left	1k_k4me1_1_right	1k_k4me1_2_right	1k_k4me1_3_right	1k_k4me1_4_right	1k_k4me2_1_right	1k_k4me3_1_right	1k_k9ac_1_right	1k_k9ac_2_right	1k_k27ac_1_right	1k_k27ac_2_right	1k_k56ac_1_right	1k_k64ac_1_right	1k_k64ac_2_right	1k_k122ac_1_right	1k_h4k16ac_1_right	1k_h4k16ac_2_right	1k_igg_1_right	1k_igg_2_right	shield_k4me1_1_right	shield_k4me1_2_right	shield_k4me2_1_right	shield_k4me2_2_right	shield_k4me3_1_right	shield_k4me3_2_right	shield_k4me3_3_right	shield_igg_1_right	shield_igg_2_right
chr4	19760	19856	atac_L28305	prox	.	.	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	1	0	3	2	1	1	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	3	2	0	0	0	1	2	0	2	3	1	0	1	0	2	0	0	0	4	3	1	1	0	0	3	0	0
chr4	20709	21166	atac_L28306	prom_umms	-	TCONS_00092776	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	1	1	1	2	1	4	0	0	0	0	1	1	2	0	0	2	1	0	0	1	0	0	0	2	0	2	0	0	0	3	4	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0
chr4	23729	23829	atac_L28307	dist	.	.	1	4	0	0	0	1	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	2	1	5	1	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	1	1	2	5	0	1	1	2	6	2	17	5	1	0	0	0	6	0	1	0	6	13	1	2	0	0	2	0	0
chr4	24006	24089	atac_L28308	dist	.	.	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	6	0	1	1	1	5	1	16	2	1	3	0	0	3	0	2	0	2	7	1	1	0	0	0	1	0	0	1	0	0	1	2	4	1	8	4	0	1	0	0	3	0	0	0	5	8	0	1	0	0	4	0	0
chr4	24498	24588	atac_L28309	dist	.	.	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	5	1	8	4	0	1	0	0	5	0	0	0	5	9	0	1	0	0	3	0	0	0	4	0	0	0	3	3	1	18	0	0	0	0	0	3	0	1	0	1	0	1	2	0	0	4	0	1
chr4	28342	28477	atac_L28310	dist	.	.	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	2	0	2	0	0	1	0	1	0	0	0	0	4	2	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	4	1	1	1	0	0	0	0	0
chr4	47284	47466	atac_L28311	dist	.	.	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	8	5	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	48601	48909	atac_P05131	dist	.	.	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	2	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	1	2	0	0	0	0	0	1	3
chr4	54835	54932	atac_L28312	prox	.	.	0	3	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	1	0	1	0	0	0	6	2	0	0	0	0	0	0	0	1	7	0	1	0	1	1	2	11	1	1	0	2	0	5	2	2	0	8	14	3	0	0	0	0	0	1
chr4	55787	55879	atac_L28313	prox	.	.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	5	0	2	1	0	0	1	9	1	1	0	0	0	4	1	0	0	6	15	1	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1
