ID	Type	Nanog	Pou5f3	Sox19b
atac_L21830	typ_enh	0	1	1
atac_L21829	typ_enh	1	1	1
atac_L15450	typ_enh	1	1	1
atac_L07957	typ_enh	0	0	2
atac_L21828	typ_enh	0	1	0
atac_L16971	typ_enh	2	1	0
atac_P03282	typ_enh	0	0	0
atac_L31586	typ_enh	1	5	0
atac_L28985	typ_enh	1	0	0
atac_L27431	typ_enh	0	1	0
atac_L16567	typ_enh	1	0	0
atac_L27430	typ_enh	2	0	0
atac_L31588	typ_enh	0	0	1
atac_L08866	typ_enh	0	1	0
atac_P00131	typ_enh	0	0	1
atac_L33213	typ_enh	3	1	1
atac_L15311	typ_enh	0	1	0
atac_L28984	typ_enh	1	1	0
atac_L08754	typ_enh	0	0	0
atac_L35364	typ_enh	1	0	0
atac_L32301	typ_enh	0	1	0
atac_L38188	typ_enh	0	0	1
atac_L31585	typ_enh	0	0	0
atac_L35365	typ_enh	1	0	1
atac_L39410	typ_enh	1	0	0
atac_L36632	typ_enh	0	0	1
atac_P00526	typ_enh	0	1	1
atac_L16563	typ_enh	1	1	2
atac_P03281	typ_enh	0	0	0
atac_L25756	typ_enh	0	1	0
atac_L02322	typ_enh	1	0	0
atac_L12033	typ_enh	1	1	1
atac_L23436	typ_enh	1	0	0
atac_L15308	typ_enh	0	2	0
atac_L07815	typ_enh	0	1	0
atac_L33621	typ_enh	1	1	1
atac_L18327	typ_enh	1	0	1
atac_L33452	typ_enh	2	0	0
atac_L34174	typ_enh	0	0	0
atac_L16564	typ_enh	2	0	0
atac_L10460	typ_enh	0	0	0
atac_L12546	typ_enh	3	1	1
atac_L17029	typ_enh	1	2	0
atac_L36305	typ_enh	1	0	0
atac_L08867	typ_enh	1	1	0
atac_L04798	typ_enh	1	1	0
atac_L16565	typ_enh	0	1	0
atac_L33451	typ_enh	0	0	1
atac_L33486	typ_enh	1	1	0
atac_L04797	typ_enh	0	0	0
atac_L10459	typ_enh	1	1	0
atac_L28986	typ_enh	1	0	0
atac_L15558	typ_enh	1	1	1
atac_L04795	typ_enh	2	0	3
atac_L07814	typ_enh	0	0	2
atac_L23021	typ_enh	0	0	0
atac_L04796	typ_enh	1	0	0
atac_P01037	typ_enh	0	0	1
