chr	start	end	name	category	strand	gene	inferred_strand	svm_prediction	dome_k4me1_up	dome_k4me1_center	dome_k4me1_down	dome_k4me2_up	dome_k4me2_center	dome_k4me2_down	dome_k4me3_up	dome_k4me3_center	dome_k4me3_down	dome_k9ac_up	dome_k9ac_center	dome_k9ac_down	dome_k27ac_up	dome_k27ac_center	dome_k27ac_down	dome_h4k16ac_up	dome_h4k16ac_center	dome_h4k16ac_down	dome_k56ac_up	dome_k56ac_center	dome_k56ac_down	dome_k64ac_up	dome_k64ac_center	dome_k64ac_down	dome_k122ac_up	dome_k122ac_center	dome_k122ac_down	dome_ntac_up	dome_ntac_center	dome_ntac_down	dome_igg_up	dome_igg_center	dome_igg_down	dome_k4me1_centerdown	dome_k4me2_centerdown	dome_k4me3_centerdown	dome_k9ac_centerdown	dome_k27ac_centerdown	dome_h4k16ac_centerdown	dome_k56ac_centerdown	dome_k64ac_centerdown	dome_k122ac_centerdown	dome_ntac_centerdown	dome_igg_centerdown	dome_k4me1_lg_enrich	dome_k4me2_lg_enrich	dome_k4me3_lg_enrich	dome_k9ac_lg_enrich	dome_k27ac_lg_enrich	dome_h4k16ac_lg_enrich	dome_k56ac_lg_enrich	dome_k64ac_lg_enrich	dome_k122ac_lg_enrich	dome_ntac_lg_enrich
chr4	61356	62221	atac_P05132	prom_umms	-	TCONS_00092785	+	prom	1.037	2.943	3.976	0	2.883	3.413	0.217	1.149	1.909	0	0.275	1.293	0.166	1.269	1.882	0.419	0.664	1.008	0	0	0	0	0.639	2.13	0.861	0	1.396	0	0.985	1.43	0.39	0.442	0.949	3.585	3.191	1.605	0.907	1.629	0.859	0	1.618	0.907	1.24	0.735	2.85	2.456	0.87	0.172	0.894	0.123	-0.735	0.882	0.172	0.505
chr4	308526	308712	atac_L28347	prom_ens	+	ENSDART00000145428	+	prom	0	1.937	2.647	1.91	2.235	3.413	1.709	2.639	3.607	1.823	2.968	1.964	1.069	1.57	1.929	1.842	2.618	2.303	0	0	3.105	1.551	1.845	2.542	1.396	0	0.861	0.646	0	0	2.331	0.875	0.949	2.556	3.281	3.492	2.175	1.878	2.357	2.89	2.453	0.755	0	0.937	1.619	2.344	2.555	1.238	0.941	1.42	1.953	1.515	-0.182	-0.937
chr4	357781	357865	atac_L28355	prom_ens	+	ENSDART00000142225	+	enh	0	0	4.157	0	0	4.242	0.217	0.974	1.558	0	2.411	2.092	0.45	2.212	2.103	0.154	0.739	1.542	0	0	0	0.568	0	1.961	0.861	2.55	1.786	0	2.124	1.43	0	0	1.164	4.047	4.132	1.521	2.12	2.111	1.493	0	1.876	1.862	1.497	1.1	2.947	3.032	0.42	1.019	1.011	0.393	-1.1	0.775	0.762	0.397
chr4	359929	360075	atac_L28356	prom_ens	+	ENSDART00000139832	+	prom	1.037	2.203	2.871	0	3.385	3.886	1.779	1.078	1.477	0	2.85	1.823	0.793	1.627	1.783	1.364	1.727	1.796	0	0	0	1.961	0	1.551	1.786	0	0.861	0.646	0	0	0	0	0.39	2.801	3.831	1.432	2.003	1.764	1.788	0	1.424	0.776	0	0.345	2.456	3.486	1.086	1.657	1.418	1.442	-0.345	1.079	0.43	-0.345
chr4	391277	391418	atac_L28357	prom_ens	+	ENSDART00000030215	+	prom	1.037	2.242	1.635	2.361	3.43	3.589	0.405	1.954	3.134	1.062	1.837	2.604	0.166	1.449	2.143	0.837	1.762	2.516	0	0	3.633	0.568	2.144	3.346	0	0	1.396	0	0	1.935	0.39	2.104	0.39	1.725	3.57	3.031	2.528	2.073	2.442	3.459	3.241	1.281	1.797	0.748	0.977	2.822	2.283	1.78	1.325	1.694	2.712	2.493	0.534	1.049
chr4	646042	646211	atac_L28372	prom_ens	+	ENSDART00000171138	+	prom	2.381	3.37	2.647	3.213	3.195	4.015	1.2	1.955	2.667	2.092	3.09	2.841	1.501	2.205	1.562	1.93	1.413	1.485	0	0	2.264	2.542	1.279	2.542	2.56	1.772	0.861	0	0	1.43	1.164	0	1.164	2.777	3.922	2.583	2.88	1.675	1.475	2.089	2.415	1.034	1.292	1.043	1.733	2.878	1.54	1.837	0.631	0.431	1.045	1.372	-0.009	0.249
chr4	841911	842114	atac_L28394	prom_ens	+	ENSDART00000067461	+	prom	1.635	1.845	2.381	3.213	2.136	3.413	0.98	1.583	3.626	1.293	0	2.42	2.018	0.927	1.228	1.3	0.872	1.3	0	0	2.264	1.961	1.755	2.763	1.396	0	0	1.43	1.257	0.646	0.39	0.819	0.949	2.304	3.263	3.429	2.207	1.181	1.236	2.057	2.635	0	0.769	0.928	1.376	2.335	2.501	1.28	0.254	0.308	1.13	1.708	-0.928	-0.159
chr4	894961	895073	atac_L28401	prom_umms	-	TCONS_00092869	+	prom	3.065	4.614	3.527	1.25	3.735	1.91	0.721	0.785	0.856	1.667	3.422	2.515	1.301	1.397	1.562	1.542	2.004	1.7	2.264	0	0	1.961	1.657	2.13	1.396	0	0	0.646	0	1.704	0.949	1.253	0	3.681	2.239	0.849	2.637	1.546	1.733	0	2.089	0	1.6	0.188	3.493	2.051	0.661	2.448	1.358	1.545	-0.188	1.9	-0.188	1.411
chr4	1068074	1068185	atac_L28414	prom_ens	-	ENSDART00000172320	+	prom	2.647	0	4.157	3.589	2.85	3.213	1.709	1.299	1.97	1.823	2.914	3.107	1.677	1.07	2.221	1.426	1.009	1.649	0	0	0	1.771	1.666	3.042	0.861	0	0.861	1.09	1.825	2.959	0	1.261	1.665	4.014	3.181	1.915	3.089	2.139	1.596	0	2.95	0.795	2.878	1.629	2.385	1.552	0.286	1.46	0.51	-0.033	-1.629	1.321	-0.834	1.249
chr4	1516548	1516729	atac_L28425	prom_umms	+	TCONS_00087619	+	prom	0	3.281	3.527	1.91	3.635	3.413	1.298	1.481	2.191	1.823	2.81	2.515	0.687	1.748	1.833	1.542	1.666	1.887	0	0	3.105	0.974	1.874	2.862	0	1.702	2.345	1.09	2.042	1.43	0.39	1.44	0.696	3.492	3.449	2.102	2.564	1.82	1.855	2.895	2.748	2.263	1.542	0.838	2.654	2.611	1.264	1.726	0.982	1.017	2.057	1.91	1.425	0.704
