chr	start	end	name	category	strand	gene	tx_anno	clickit_sense_left	dome_sense_left	x50e_sense_left	shield_sense_left	x75e_sense_left	clickit_anti_left	dome_anti_left	x50e_anti_left	shield_anti_left	x75e_anti_left	clickit_sense_left2	dome_sense_left2	x50e_sense_left2	shield_sense_left2	x75e_sense_left2	clickit_anti_left2	dome_anti_left2	x50e_anti_left2	shield_anti_left2	x75e_anti_left2	clickit_sense_right	dome_sense_right	x50e_sense_right	shield_sense_right	x75e_sense_right	clickit_anti_right	dome_anti_right	x50e_anti_right	shield_anti_right	x75e_anti_right	clickit_sense_right2	dome_sense_right2	x50e_sense_right2	shield_sense_right2	x75e_sense_right2	clickit_anti_right2	dome_anti_right2	x50e_anti_right2	shield_anti_right2	x75e_anti_right2	exonic_plus_left	exonic_minus_left	exonic_plus_right	exonic_minus_right
chr4	19808	19809	atac_L28305	prox	.	.	overlap_minus	0	0.35	0	0	0	4.52	0	0	0	0.2	0	0.35	0	0	0	3.01	0	0	0	0	0	0.35	0	0	0	7.54	0	0	0	0.2	0	0.35	0	0	0	9.04	0	0	0	0.2	.	.	.	.
chr4	20937	20938	atac_L28306	prom_umms	-	TCONS_00092776	tss_minus	0	0.41	1.51	0	0	0	0	6.03	0.52	0.64	0.18	0.41	1.51	0	0	4.09	19.25	141.69	14.46	19.09	0	0.41	1.51	0	0	0	0	6.03	0.35	0.64	0.53	0.41	1.51	0	0	0.36	0	1.51	0	0.16	.	X	.	.
chr4	23779	23780	atac_L28307	dist	.	.	minimal	0.17	0.32	0.18	0	0	0.52	0	0	0	0	0.17	0.32	0.18	0	0	0.52	0	0	0	0	0	0.32	0.18	0	0	0	0	0	0	0	0	0.32	0.18	0	0	0	0	0	0	0	.	.	.	.
chr4	24047	24048	atac_L28308	dist	.	.	overlap_plus	0	3.01	0.17	0	0	0	0	0	0	0	0	3.01	0.17	0	0	0	0	0	0	0	0.41	3.01	0.17	0	0	0	0	0	0	0	0.41	3.01	0.17	0	0	0	0	0	0	0	.	.	.	.
chr4	24543	24544	atac_L28309	dist	.	.	minimal	0.16	0.36	0.2	0	0	0	0	0	0	0	0.16	0.36	0.2	0	0	0	0	0	0	0	0	0.36	0.2	0	0	0	0	0	0	0	0	0.36	0.2	0	0	0	0	0	0	0	.	.	.	.
chr4	28409	28410	atac_L28310	dist	.	.	tss_plus	0	0.35	0.16	0	0.2	3.01	0	0	0	0	0	0.35	0.16	0	0.2	3.01	0	0	0	0	0	1.22	0.8	0.53	5.67	1.51	0	0	0	0	0	1.74	1.59	0.71	9.52	1.51	0	0	0	0	.	.	.	.
chr4	47375	47376	atac_L28311	dist	.	.	overlap_plus	0.18	0.41	3.01	0	0.16	0.53	0	0	0	0.64	0.18	0.41	3.01	0	0.16	0.53	0	0	0	0.64	0.18	0.41	3.01	0	0.16	0.36	0	1.51	0	0.32	0.18	0.41	3.01	0	0.16	0.53	0	1.51	0	0.16	.	X	.	X
chr4	48755	48756	atac_P05131	dist	.	.	overlap_minus	0.17	0.32	0.36	0	1.51	0.52	0	0	0.41	1.51	0.35	0.32	0.36	0	1.51	0	0.64	0	0.41	3.01	0.17	0.32	0.36	0	1.51	0.17	0	0.18	0.61	6.03	0.17	0.32	0.36	0	1.51	0	0	0.18	0.2	3.01	.	X	.	X
chr4	54883	54884	atac_L28312	prox	.	.	overlap_plus	0.2	3.01	0.35	0	0.18	0.81	0	0.17	0	0.36	0.2	3.01	0.35	0	0.18	1.42	0	0.35	0	0.36	0.2	3.01	0.35	0	0.18	0.41	0	0.17	0.16	0	0.2	3.01	0.35	0	0.18	0.2	0	0.17	0.32	0	.	X	.	X
chr4	55833	55834	atac_L28313	prox	.	.	overlap_plus	0.16	0.36	0.41	0	0.17	0	0	0	0	0	0.16	0.36	0.41	0	0.17	0.32	0.36	0	0	0	0.16	1.07	1.22	12.06	0.17	0.64	0	0	0	0	0.16	1.07	1.22	12.06	0.17	0.64	0	0	0	0	.	X	.	X
